cell_line_id,drug,target_gene,target_token,target_rank,n_cells,top5,top10,top50,top100
CVCL_1550,(R)-Verapamil (hydrochloride),ABCB1,1665,,139412,False,False,False,False
CVCL_1717,(R)-Verapamil (hydrochloride),ABCB1,1665,,104894,False,False,False,False
CVCL_0359,(R)-Verapamil (hydrochloride),ABCB1,1665,,9826,False,False,False,False
CVCL_1055,(R)-Verapamil (hydrochloride),ABCB1,1665,,142894,False,False,False,False
CVCL_0131,(R)-Verapamil (hydrochloride),ABCB1,1665,,62547,False,False,False,False
CVCL_1547,(R)-Verapamil (hydrochloride),ABCB1,1665,,117756,False,False,False,False
CVCL_0371,(R)-Verapamil (hydrochloride),ABCB1,1665,,112922,False,False,False,False
CVCL_0293,(R)-Verapamil (hydrochloride),ABCB1,1665,,54542,False,False,False,False
CVCL_0397,(R)-Verapamil (hydrochloride),ABCB1,1665,,20884,False,False,False,False
CVCL_0459,(R)-Verapamil (hydrochloride),ABCB1,1665,,7715,False,False,False,False
CVCL_1119,(R)-Verapamil (hydrochloride),ABCB1,1665,,72639,False,False,False,False
CVCL_0399,(R)-Verapamil (hydrochloride),ABCB1,1665,,2227,False,False,False,False
CVCL_0292,(R)-Verapamil (hydrochloride),ABCB1,1665,,17571,False,False,False,False
CVCL_1285,(R)-Verapamil (hydrochloride),ABCB1,1665,,7877,False,False,False,False
CVCL_1635,(R)-Verapamil (hydrochloride),ABCB1,1665,,53794,False,False,False,False
CVCL_0366,(R)-Verapamil (hydrochloride),ABCB1,1665,,100180,False,False,False,False
CVCL_0428,(R)-Verapamil (hydrochloride),ABCB1,1665,,17082,False,False,False,False
CVCL_1495,(R)-Verapamil (hydrochloride),ABCB1,1665,,72062,False,False,False,False
CVCL_1478,(R)-Verapamil (hydrochloride),ABCB1,1665,,1027,False,False,False,False
CVCL_0069,(R)-Verapamil (hydrochloride),ABCB1,1665,,14304,False,False,False,False
CVCL_1635,Temsirolimus,MTOR,17846,,67091,False,False,False,False
CVCL_0292,Temsirolimus,MTOR,17846,,15658,False,False,False,False
CVCL_1717,Temsirolimus,MTOR,17846,,103503,False,False,False,False
CVCL_0397,Temsirolimus,MTOR,17846,,20987,False,False,False,False
CVCL_0366,Temsirolimus,MTOR,17846,,70000,False,False,False,False
CVCL_1547,Temsirolimus,MTOR,17846,,91278,False,False,False,False
CVCL_0480,Temsirolimus,MTOR,17846,,188620,False,False,False,False
CVCL_1715,Temsirolimus,MTOR,17846,,4955,False,False,False,False
CVCL_0069,Temsirolimus,MTOR,17846,,22732,False,False,False,False
CVCL_1550,Temsirolimus,MTOR,17846,,120599,False,False,False,False
CVCL_0428,Temsirolimus,MTOR,17846,,31140,False,False,False,False
CVCL_1495,Temsirolimus,MTOR,17846,,68769,False,False,False,False
CVCL_0371,Temsirolimus,MTOR,17846,,109247,False,False,False,False
CVCL_1119,Temsirolimus,MTOR,17846,,71992,False,False,False,False
CVCL_0131,Temsirolimus,MTOR,17846,,48377,False,False,False,False
CVCL_0359,Temsirolimus,MTOR,17846,,13174,False,False,False,False
CVCL_1055,Temsirolimus,MTOR,17846,,107283,False,False,False,False
CVCL_0293,Temsirolimus,MTOR,17846,,75123,False,False,False,False
CVCL_1285,Temsirolimus,MTOR,17846,,8754,False,False,False,False
CVCL_0320,Temsirolimus,MTOR,17846,,607,False,False,False,False
CVCL_0546,Temsirolimus,MTOR,17846,,1312,False,False,False,False
CVCL_0459,Temsirolimus,MTOR,17846,,6228,False,False,False,False
CVCL_1635,Tofacitinib,JAK1,10726,5334.0,151182,False,False,False,False
CVCL_0480,Tofacitinib,JAK1,10726,6089.0,400632,False,False,False,False
CVCL_0359,Tofacitinib,JAK1,10726,,6822,False,False,False,False
CVCL_0293,Tofacitinib,JAK1,10726,,145065,False,False,False,False
CVCL_0371,Tofacitinib,JAK1,10726,2009.0,328284,False,False,False,False
CVCL_1715,Tofacitinib,JAK1,10726,,24768,False,False,False,False
CVCL_0397,Tofacitinib,JAK1,10726,,82134,False,False,False,False
CVCL_1717,Tofacitinib,JAK1,10726,1532.0,230235,False,False,False,False
CVCL_1495,Tofacitinib,JAK1,10726,,186696,False,False,False,False
CVCL_0069,Tofacitinib,JAK1,10726,3790.0,59604,False,False,False,False
CVCL_0366,Tofacitinib,JAK1,10726,5070.0,111954,False,False,False,False
CVCL_1119,Tofacitinib,JAK1,10726,,153045,False,False,False,False
CVCL_1550,Tofacitinib,JAK1,10726,,347625,False,False,False,False
CVCL_0428,Tofacitinib,JAK1,10726,,29619,False,False,False,False
CVCL_1285,Tofacitinib,JAK1,10726,,17511,False,False,False,False
CVCL_0131,Tofacitinib,JAK1,10726,,91581,False,False,False,False
CVCL_1055,Tofacitinib,JAK1,10726,5148.0,108435,False,False,False,False
CVCL_1724,Tofacitinib,JAK1,10726,,7512,False,False,False,False
CVCL_1547,Tofacitinib,JAK1,10726,4855.0,183699,False,False,False,False
CVCL_0099,Tofacitinib,JAK1,10726,,1740,False,False,False,False
CVCL_0292,Tofacitinib,JAK1,10726,2595.0,31017,False,False,False,False
CVCL_0459,Tofacitinib,JAK1,10726,,13965,False,False,False,False
CVCL_1531,Tofacitinib,JAK1,10726,,5322,False,False,False,False
CVCL_0131,Trimetrexate,DHFR,28211,,37966,False,False,False,False
CVCL_0480,Trimetrexate,DHFR,28211,,117552,False,False,False,False
CVCL_0428,Trimetrexate,DHFR,28211,,17978,False,False,False,False
CVCL_0293,Trimetrexate,DHFR,28211,,59431,False,False,False,False
CVCL_1547,Trimetrexate,DHFR,28211,,70174,False,False,False,False
CVCL_1055,Trimetrexate,DHFR,28211,,58618,False,False,False,False
CVCL_1717,Trimetrexate,DHFR,28211,,70247,False,False,False,False
CVCL_1550,Trimetrexate,DHFR,28211,,114847,False,False,False,False
CVCL_0397,Trimetrexate,DHFR,28211,,23808,False,False,False,False
CVCL_0366,Trimetrexate,DHFR,28211,,35673,False,False,False,False
CVCL_1119,Trimetrexate,DHFR,28211,,47438,False,False,False,False
CVCL_1724,Trimetrexate,DHFR,28211,,2662,False,False,False,False
CVCL_0359,Trimetrexate,DHFR,28211,,4753,False,False,False,False
CVCL_0069,Trimetrexate,DHFR,28211,,8746,False,False,False,False
CVCL_1635,Trimetrexate,DHFR,28211,,44356,False,False,False,False
CVCL_0371,Trimetrexate,DHFR,28211,,44240,False,False,False,False
CVCL_1517,Trimetrexate,DHFR,28211,,585,False,False,False,False
CVCL_1495,Trimetrexate,DHFR,28211,,40152,False,False,False,False
CVCL_1285,Trimetrexate,DHFR,28211,,9236,False,False,False,False
CVCL_0459,Trimetrexate,DHFR,28211,,4612,False,False,False,False
CVCL_1577,Trimetrexate,DHFR,28211,,3397,False,False,False,False
CVCL_1547,Gemfibrozil,PPARA,16342,,432065,False,False,False,False
CVCL_1550,Gemfibrozil,PPARA,16342,,515785,False,False,False,False
CVCL_1717,Gemfibrozil,PPARA,16342,,394160,False,False,False,False
CVCL_0371,Gemfibrozil,PPARA,16342,,400205,False,False,False,False
CVCL_0399,Gemfibrozil,PPARA,16342,,9990,False,False,False,False
CVCL_0480,Gemfibrozil,PPARA,16342,,703450,False,False,False,False
CVCL_0131,Gemfibrozil,PPARA,16342,,169975,False,False,False,False
CVCL_1119,Gemfibrozil,PPARA,16342,,307470,False,False,False,False
CVCL_1635,Gemfibrozil,PPARA,16342,,214145,False,False,False,False
CVCL_1495,Gemfibrozil,PPARA,16342,,264440,False,False,False,False
CVCL_0332,Gemfibrozil,PPARA,16342,,3195,False,False,False,False
CVCL_0366,Gemfibrozil,PPARA,16342,,246070,False,False,False,False
CVCL_1731,Gemfibrozil,PPARA,16342,,2720,False,False,False,False
CVCL_0397,Gemfibrozil,PPARA,16342,,138995,False,False,False,False
CVCL_0428,Gemfibrozil,PPARA,16342,,61855,False,False,False,False
CVCL_0293,Gemfibrozil,PPARA,16342,,262900,False,False,False,False
CVCL_0292,Gemfibrozil,PPARA,16342,,42670,False,False,False,False
CVCL_0069,Gemfibrozil,PPARA,16342,,60515,False,False,False,False
CVCL_0359,Gemfibrozil,PPARA,16342,,27770,False,False,False,False
CVCL_1055,Gemfibrozil,PPARA,16342,,344770,False,False,False,False
CVCL_1577,Gemfibrozil,PPARA,16342,,50905,False,False,False,False
CVCL_0459,Gemfibrozil,PPARA,16342,,36615,False,False,False,False
CVCL_1285,Gemfibrozil,PPARA,16342,,36475,False,False,False,False
CVCL_1715,Gemfibrozil,PPARA,16342,,41925,False,False,False,False
CVCL_1056,Gemfibrozil,PPARA,16342,,3700,False,False,False,False
CVCL_1547,Tolcapone,COMT,1996,,91357,False,False,False,False
CVCL_1635,Tolcapone,COMT,1996,,84811,False,False,False,False
CVCL_0131,Tolcapone,COMT,1996,,45811,False,False,False,False
CVCL_1717,Tolcapone,COMT,1996,,113474,False,False,False,False
CVCL_0480,Tolcapone,COMT,1996,,193647,False,False,False,False
CVCL_1381,Tolcapone,COMT,1996,,481,False,False,False,False
CVCL_0459,Tolcapone,COMT,1996,,6892,False,False,False,False
CVCL_0371,Tolcapone,COMT,1996,,111075,False,False,False,False
CVCL_0366,Tolcapone,COMT,1996,,52381,False,False,False,False
CVCL_0292,Tolcapone,COMT,1996,,9902,False,False,False,False
CVCL_1495,Tolcapone,COMT,1996,,60977,False,False,False,False
CVCL_0428,Tolcapone,COMT,1996,,14418,False,False,False,False
CVCL_0152,Tolcapone,COMT,1996,,1823,False,False,False,False
CVCL_1119,Tolcapone,COMT,1996,,72729,False,False,False,False
CVCL_1550,Tolcapone,COMT,1996,,153457,False,False,False,False
CVCL_0293,Tolcapone,COMT,1996,,67184,False,False,False,False
CVCL_1055,Tolcapone,COMT,1996,,106580,False,False,False,False
CVCL_0069,Tolcapone,COMT,1996,,17454,False,False,False,False
CVCL_1731,Tolcapone,COMT,1996,,1810,False,False,False,False
CVCL_1724,Tolcapone,COMT,1996,,2256,False,False,False,False
CVCL_1285,Tolcapone,COMT,1996,,5842,False,False,False,False
CVCL_0397,Tolcapone,COMT,1996,,24692,False,False,False,False
CVCL_0399,Tolcapone,COMT,1996,,1141,False,False,False,False
CVCL_1715,Tolcapone,COMT,1996,,5616,False,False,False,False
CVCL_1547,Terfenadine,HRH1,17153,,132150,False,False,False,False
CVCL_1550,Terfenadine,HRH1,17153,,155641,False,False,False,False
CVCL_1635,Terfenadine,HRH1,17153,,69154,False,False,False,False
CVCL_0131,Terfenadine,HRH1,17153,,61133,False,False,False,False
CVCL_0293,Terfenadine,HRH1,17153,,92105,False,False,False,False
CVCL_0428,Terfenadine,HRH1,17153,,20902,False,False,False,False
CVCL_1717,Terfenadine,HRH1,17153,,101612,False,False,False,False
CVCL_0480,Terfenadine,HRH1,17153,,176106,False,False,False,False
CVCL_0371,Terfenadine,HRH1,17153,,95201,False,False,False,False
CVCL_0366,Terfenadine,HRH1,17153,,71361,False,False,False,False
CVCL_1119,Terfenadine,HRH1,17153,,76545,False,False,False,False
CVCL_1055,Terfenadine,HRH1,17153,,131465,False,False,False,False
CVCL_1495,Terfenadine,HRH1,17153,,63126,False,False,False,False
CVCL_0359,Terfenadine,HRH1,17153,,9789,False,False,False,False
CVCL_1577,Terfenadine,HRH1,17153,,20271,False,False,False,False
CVCL_0459,Terfenadine,HRH1,17153,,8694,False,False,False,False
CVCL_1715,Terfenadine,HRH1,17153,,8978,False,False,False,False
CVCL_0152,Terfenadine,HRH1,17153,,1090,False,False,False,False
CVCL_0397,Terfenadine,HRH1,17153,,29738,False,False,False,False
CVCL_1724,Terfenadine,HRH1,17153,,4355,False,False,False,False
CVCL_1285,Terfenadine,HRH1,17153,,11501,False,False,False,False
CVCL_0399,Terfenadine,HRH1,17153,,5132,False,False,False,False
CVCL_1125,Terfenadine,HRH1,17153,,571,False,False,False,False
CVCL_1478,Terfenadine,HRH1,17153,,2253,False,False,False,False
CVCL_0292,Terfenadine,HRH1,17153,,13095,False,False,False,False
CVCL_1119,Aliskiren,REN,8469,5355.0,98363,False,False,False,False
CVCL_1495,Aliskiren,REN,8469,,90740,False,False,False,False
CVCL_0371,Aliskiren,REN,8469,,127982,False,False,False,False
CVCL_1550,Aliskiren,REN,8469,,168497,False,False,False,False
CVCL_0397,Aliskiren,REN,8469,,32687,False,False,False,False
CVCL_0480,Aliskiren,REN,8469,,249826,False,False,False,False
CVCL_0293,Aliskiren,REN,8469,,103534,False,False,False,False
CVCL_1547,Aliskiren,REN,8469,5769.0,122614,False,False,False,False
CVCL_1635,Aliskiren,REN,8469,,96174,False,False,False,False
CVCL_1055,Aliskiren,REN,8469,,96339,False,False,False,False
CVCL_0131,Aliskiren,REN,8469,,47938,False,False,False,False
CVCL_0292,Aliskiren,REN,8469,,19498,False,False,False,False
CVCL_1717,Aliskiren,REN,8469,,128574,False,False,False,False
CVCL_0459,Aliskiren,REN,8469,,7482,False,False,False,False
CVCL_1715,Aliskiren,REN,8469,,13812,False,False,False,False
CVCL_0428,Aliskiren,REN,8469,,19847,False,False,False,False
CVCL_1724,Aliskiren,REN,8469,,5511,False,False,False,False
CVCL_0366,Aliskiren,REN,8469,,73685,False,False,False,False
CVCL_0069,Aliskiren,REN,8469,,14713,False,False,False,False
CVCL_1577,Aliskiren,REN,8469,,5831,False,False,False,False
CVCL_0359,Aliskiren,REN,8469,,1762,False,False,False,False
CVCL_1285,Aliskiren,REN,8469,,7799,False,False,False,False
CVCL_0480,Fluvoxamine (maleate),SLC6A4,3554,,123134,False,False,False,False
CVCL_1119,Fluvoxamine (maleate),SLC6A4,3554,,65018,False,False,False,False
CVCL_1285,Fluvoxamine (maleate),SLC6A4,3554,,9704,False,False,False,False
CVCL_0359,Fluvoxamine (maleate),SLC6A4,3554,,5653,False,False,False,False
CVCL_0332,Fluvoxamine (maleate),SLC6A4,3554,,538,False,False,False,False
CVCL_1635,Fluvoxamine (maleate),SLC6A4,3554,,61909,False,False,False,False
CVCL_0366,Fluvoxamine (maleate),SLC6A4,3554,,36105,False,False,False,False
CVCL_1495,Fluvoxamine (maleate),SLC6A4,3554,,45428,False,False,False,False
CVCL_1717,Fluvoxamine (maleate),SLC6A4,3554,,70560,False,False,False,False
CVCL_0371,Fluvoxamine (maleate),SLC6A4,3554,,55256,False,False,False,False
CVCL_1550,Fluvoxamine (maleate),SLC6A4,3554,,105526,False,False,False,False
CVCL_0131,Fluvoxamine (maleate),SLC6A4,3554,,41027,False,False,False,False
CVCL_1547,Fluvoxamine (maleate),SLC6A4,3554,,73046,False,False,False,False
CVCL_0293,Fluvoxamine (maleate),SLC6A4,3554,,48586,False,False,False,False
CVCL_1055,Fluvoxamine (maleate),SLC6A4,3554,,84938,False,False,False,False
CVCL_0428,Fluvoxamine (maleate),SLC6A4,3554,,8976,False,False,False,False
CVCL_0069,Fluvoxamine (maleate),SLC6A4,3554,,18335,False,False,False,False
CVCL_1478,Fluvoxamine (maleate),SLC6A4,3554,,868,False,False,False,False
CVCL_0459,Fluvoxamine (maleate),SLC6A4,3554,,3028,False,False,False,False
CVCL_1577,Fluvoxamine (maleate),SLC6A4,3554,,3637,False,False,False,False
CVCL_0397,Fluvoxamine (maleate),SLC6A4,3554,,10077,False,False,False,False
CVCL_0366,Idarubicin (hydrochloride),TOP2A,6488,,40659,False,False,False,False
