drug,target_gene,label,cell_line_id
Adenosine,ADORA3,8,CVCL_0023
Adenosine,ADORA1,5,CVCL_0069
Adenosine,ADORA2A,6,CVCL_0069
Adenosine,ADORA2B,7,CVCL_0069
Adenosine,ADORA3,8,CVCL_0069
Adenosine,ADORA1,5,CVCL_0099
Adenosine,ADORA2A,6,CVCL_0099
Adenosine,ADORA2B,7,CVCL_0099
Adenosine,ADORA3,8,CVCL_0099
Adenosine,ADORA1,5,CVCL_0131
Adenosine,ADORA2A,6,CVCL_0131
Adenosine,ADORA2B,7,CVCL_0131
Adenosine,ADORA3,8,CVCL_0131
Adenosine,ADORA1,5,CVCL_0152
Adenosine,ADORA2A,6,CVCL_0152
Adenosine,ADORA2B,7,CVCL_0152
Adenosine,ADORA3,8,CVCL_0152
Adenosine,ADORA1,5,CVCL_0179
Adenosine,ADORA2A,6,CVCL_0179
Adenosine,ADORA2B,7,CVCL_0179
Adenosine,ADORA3,8,CVCL_0179
Adenosine,ADORA1,5,CVCL_0218
Adenosine,ADORA2A,6,CVCL_0218
Adenosine,ADORA2B,7,CVCL_0218
Adenosine,ADORA3,8,CVCL_0218
Adenosine,ADORA1,5,CVCL_0292
Adenosine,ADORA2A,6,CVCL_0292
Adenosine,ADORA2B,7,CVCL_0292
Adenosine,ADORA3,8,CVCL_0292
Adenosine,ADORA1,5,CVCL_0293
Adenosine,ADORA2A,6,CVCL_0293
Adenosine,ADORA2B,7,CVCL_0293
Adenosine,ADORA3,8,CVCL_0293
Adenosine,ADORA1,5,CVCL_0332
Adenosine,ADORA2A,6,CVCL_0332
Adenosine,ADORA2B,7,CVCL_0332
Adenosine,ADORA3,8,CVCL_0332
Adenosine,ADORA1,5,CVCL_0334
Adenosine,ADORA2A,6,CVCL_0334
Adenosine,ADORA2B,7,CVCL_0334
Adenosine,ADORA3,8,CVCL_0334
Adenosine,ADORA1,5,CVCL_0359
Adenosine,ADORA2A,6,CVCL_0359
Adenosine,ADORA2B,7,CVCL_0359
Adenosine,ADORA3,8,CVCL_0359
Adenosine,ADORA1,5,CVCL_0366
Adenosine,ADORA2A,6,CVCL_0366
Adenosine,ADORA2B,7,CVCL_0366
Adenosine,ADORA3,8,CVCL_0366
Adenosine,ADORA1,5,CVCL_0371
Adenosine,ADORA2A,6,CVCL_0371
Adenosine,ADORA2B,7,CVCL_0371
Adenosine,ADORA3,8,CVCL_0371
Adenosine,ADORA1,5,CVCL_0397
Adenosine,ADORA2A,6,CVCL_0397
Adenosine,ADORA2B,7,CVCL_0397
Adenosine,ADORA3,8,CVCL_0397
Adenosine,ADORA1,5,CVCL_0399
Adenosine,ADORA2A,6,CVCL_0399
Adenosine,ADORA2B,7,CVCL_0399
Adenosine,ADORA3,8,CVCL_0399
Adenosine,ADORA1,5,CVCL_0428
Adenosine,ADORA2A,6,CVCL_0428
Adenosine,ADORA2B,7,CVCL_0428
Adenosine,ADORA3,8,CVCL_0428
Adenosine,ADORA1,5,CVCL_0459
Adenosine,ADORA2A,6,CVCL_0459
Adenosine,ADORA2B,7,CVCL_0459
Adenosine,ADORA3,8,CVCL_0459
Adenosine,ADORA1,5,CVCL_0480
Adenosine,ADORA2A,6,CVCL_0480
Adenosine,ADORA2B,7,CVCL_0480
Adenosine,ADORA3,8,CVCL_0480
Adenosine,ADORA1,5,CVCL_0504
Adenosine,ADORA2A,6,CVCL_0504
Adenosine,ADORA2B,7,CVCL_0504
Adenosine,ADORA3,8,CVCL_0504
Adenosine,ADORA1,5,CVCL_0546
Adenosine,ADORA2A,6,CVCL_0546
Adenosine,ADORA2B,7,CVCL_0546
Adenosine,ADORA3,8,CVCL_0546
Adenosine,ADORA1,5,CVCL_1055
Adenosine,ADORA2A,6,CVCL_1055
Adenosine,ADORA2B,7,CVCL_1055
Adenosine,ADORA3,8,CVCL_1055
Adenosine,ADORA1,5,CVCL_1056
Adenosine,ADORA2A,6,CVCL_1056
Adenosine,ADORA2B,7,CVCL_1056
Adenosine,ADORA3,8,CVCL_1056
Adenosine,ADORA1,5,CVCL_1094
Adenosine,ADORA2A,6,CVCL_1094
Adenosine,ADORA2B,7,CVCL_1094
Adenosine,ADORA3,8,CVCL_1094
Adenosine,ADORA1,5,CVCL_1097
Adenosine,ADORA2A,6,CVCL_1097
Adenosine,ADORA2B,7,CVCL_1097
Adenosine,ADORA3,8,CVCL_1097
Adenosine,ADORA1,5,CVCL_1098
Adenosine,ADORA2A,6,CVCL_1098
Adenosine,ADORA2B,7,CVCL_1098
Adenosine,ADORA3,8,CVCL_1098
Adenosine,ADORA1,5,CVCL_1119
Adenosine,ADORA2A,6,CVCL_1119
Adenosine,ADORA2B,7,CVCL_1119
Adenosine,ADORA3,8,CVCL_1119
Adenosine,ADORA1,5,CVCL_1125
Adenosine,ADORA2A,6,CVCL_1125
Adenosine,ADORA2B,7,CVCL_1125
Adenosine,ADORA3,8,CVCL_1125
Adenosine,ADORA1,5,CVCL_1239
Adenosine,ADORA2A,6,CVCL_1239
Adenosine,ADORA2B,7,CVCL_1239
Adenosine,ADORA3,8,CVCL_1239
Adenosine,ADORA1,5,CVCL_1285
Adenosine,ADORA2A,6,CVCL_1285
Adenosine,ADORA2B,7,CVCL_1285
Adenosine,ADORA3,8,CVCL_1285
Adenosine,ADORA1,5,CVCL_1381
Adenosine,ADORA2A,6,CVCL_1381
Adenosine,ADORA2B,7,CVCL_1381
Adenosine,ADORA3,8,CVCL_1381
Adenosine,ADORA1,5,CVCL_1478
Adenosine,ADORA2A,6,CVCL_1478
Adenosine,ADORA2B,7,CVCL_1478
Adenosine,ADORA3,8,CVCL_1478
Adenosine,ADORA1,5,CVCL_1495
Adenosine,ADORA2A,6,CVCL_1495
Adenosine,ADORA2B,7,CVCL_1495
Adenosine,ADORA3,8,CVCL_1495
Adenosine,ADORA1,5,CVCL_1517
Adenosine,ADORA2A,6,CVCL_1517
Adenosine,ADORA2B,7,CVCL_1517
Adenosine,ADORA3,8,CVCL_1517
Adenosine,ADORA1,5,CVCL_1531
Adenosine,ADORA2A,6,CVCL_1531
Adenosine,ADORA2B,7,CVCL_1531
Adenosine,ADORA3,8,CVCL_1531
Adenosine,ADORA1,5,CVCL_1547
Adenosine,ADORA2A,6,CVCL_1547
Adenosine,ADORA2B,7,CVCL_1547
Adenosine,ADORA3,8,CVCL_1547
Adenosine,ADORA1,5,CVCL_1550
Adenosine,ADORA2A,6,CVCL_1550
Adenosine,ADORA2B,7,CVCL_1550
Adenosine,ADORA3,8,CVCL_1550
Adenosine,ADORA1,5,CVCL_1577
Adenosine,ADORA2A,6,CVCL_1577
Adenosine,ADORA2B,7,CVCL_1577
Adenosine,ADORA3,8,CVCL_1577
Adenosine,ADORA1,5,CVCL_1635
Adenosine,ADORA2A,6,CVCL_1635
Adenosine,ADORA2B,7,CVCL_1635
Adenosine,ADORA3,8,CVCL_1635
Adenosine,ADORA1,5,CVCL_1693
Adenosine,ADORA2A,6,CVCL_1693
Adenosine,ADORA2B,7,CVCL_1693
Adenosine,ADORA3,8,CVCL_1693
Adenosine,ADORA1,5,CVCL_1715
Adenosine,ADORA2A,6,CVCL_1715
Adenosine,ADORA2B,7,CVCL_1715
Adenosine,ADORA3,8,CVCL_1715
Adenosine,ADORA1,5,CVCL_1716
Adenosine,ADORA2A,6,CVCL_1716
Adenosine,ADORA2B,7,CVCL_1716
Adenosine,ADORA3,8,CVCL_1716
Adenosine,ADORA1,5,CVCL_1717
Adenosine,ADORA2A,6,CVCL_1717
Adenosine,ADORA2B,7,CVCL_1717
Adenosine,ADORA3,8,CVCL_1717
Adenosine,ADORA1,5,CVCL_1724
Adenosine,ADORA2A,6,CVCL_1724
Adenosine,ADORA2B,7,CVCL_1724
Adenosine,ADORA3,8,CVCL_1724
Adenosine,ADORA1,5,CVCL_1731
Adenosine,ADORA2A,6,CVCL_1731
Adenosine,ADORA2B,7,CVCL_1731
Adenosine,ADORA3,8,CVCL_1731
Adenosine,ADORA1,5,CVCL_C466
Adenosine,ADORA2A,6,CVCL_C466
Adenosine,ADORA2B,7,CVCL_C466
Adenosine,ADORA3,8,CVCL_C466
Aliskiren,REN,216,CVCL_0069
Aliskiren,REN,216,CVCL_0099
Aliskiren,REN,216,CVCL_0131
Aliskiren,REN,216,CVCL_0152
Aliskiren,REN,216,CVCL_0292
Aliskiren,REN,216,CVCL_0293
Aliskiren,REN,216,CVCL_0320
Aliskiren,REN,216,CVCL_0332
Aliskiren,REN,216,CVCL_0359
Aliskiren,REN,216,CVCL_0366
Aliskiren,REN,216,CVCL_0371
Aliskiren,REN,216,CVCL_0397
Aliskiren,REN,216,CVCL_0399
Aliskiren,REN,216,CVCL_0428
Aliskiren,REN,216,CVCL_0459
Aliskiren,REN,216,CVCL_0480
Aliskiren,REN,216,CVCL_0504
Aliskiren,REN,216,CVCL_1055
Aliskiren,REN,216,CVCL_1098
Aliskiren,REN,216,CVCL_1119
Aliskiren,REN,216,CVCL_1125
Aliskiren,REN,216,CVCL_1239
Aliskiren,REN,216,CVCL_1285
Aliskiren,REN,216,CVCL_1478
Aliskiren,REN,216,CVCL_1495
Aliskiren,REN,216,CVCL_1531
Aliskiren,REN,216,CVCL_1547
Aliskiren,REN,216,CVCL_1550
Aliskiren,REN,216,CVCL_1577
Aliskiren,REN,216,CVCL_1635
Aliskiren,REN,216,CVCL_1715
Aliskiren,REN,216,CVCL_1716
Aliskiren,REN,216,CVCL_1717
Aliskiren,REN,216,CVCL_1724
Aliskiren,REN,216,CVCL_1731
Aliskiren,REN,216,CVCL_C466
Almonertinib (hydrochloride),EGFR,79,CVCL_0023
Almonertinib (hydrochloride),EGFR,79,CVCL_0028
Almonertinib (hydrochloride),EGFR,79,CVCL_0069
Almonertinib (hydrochloride),EGFR,79,CVCL_0099
Almonertinib (hydrochloride),EGFR,79,CVCL_0131
Almonertinib (hydrochloride),EGFR,79,CVCL_0152
Almonertinib (hydrochloride),EGFR,79,CVCL_0179
Almonertinib (hydrochloride),EGFR,79,CVCL_0218
Almonertinib (hydrochloride),EGFR,79,CVCL_0292
Almonertinib (hydrochloride),EGFR,79,CVCL_0293
Almonertinib (hydrochloride),EGFR,79,CVCL_0332
Almonertinib (hydrochloride),EGFR,79,CVCL_0334
Almonertinib (hydrochloride),EGFR,79,CVCL_0359
Almonertinib (hydrochloride),EGFR,79,CVCL_0366
Almonertinib (hydrochloride),EGFR,79,CVCL_0371
Almonertinib (hydrochloride),EGFR,79,CVCL_0397
Almonertinib (hydrochloride),EGFR,79,CVCL_0399
Almonertinib (hydrochloride),EGFR,79,CVCL_0428
Almonertinib (hydrochloride),EGFR,79,CVCL_0459
Almonertinib (hydrochloride),EGFR,79,CVCL_0480
Almonertinib (hydrochloride),EGFR,79,CVCL_0504
Almonertinib (hydrochloride),EGFR,79,CVCL_0546
Almonertinib (hydrochloride),EGFR,79,CVCL_1055
Almonertinib (hydrochloride),EGFR,79,CVCL_1056
Almonertinib (hydrochloride),EGFR,79,CVCL_1094
Almonertinib (hydrochloride),EGFR,79,CVCL_1097
Almonertinib (hydrochloride),EGFR,79,CVCL_1098
Almonertinib (hydrochloride),EGFR,79,CVCL_1119
Almonertinib (hydrochloride),EGFR,79,CVCL_1125
Almonertinib (hydrochloride),EGFR,79,CVCL_1239
Almonertinib (hydrochloride),EGFR,79,CVCL_1285
Almonertinib (hydrochloride),EGFR,79,CVCL_1381
Almonertinib (hydrochloride),EGFR,79,CVCL_1478
Almonertinib (hydrochloride),EGFR,79,CVCL_1495
Almonertinib (hydrochloride),EGFR,79,CVCL_1517
Almonertinib (hydrochloride),EGFR,79,CVCL_1531
Almonertinib (hydrochloride),EGFR,79,CVCL_1547
Almonertinib (hydrochloride),EGFR,79,CVCL_1550
Almonertinib (hydrochloride),EGFR,79,CVCL_1577
Almonertinib (hydrochloride),EGFR,79,CVCL_1635
Almonertinib (hydrochloride),EGFR,79,CVCL_1666
Almonertinib (hydrochloride),EGFR,79,CVCL_1693
Almonertinib (hydrochloride),EGFR,79,CVCL_1715
Almonertinib (hydrochloride),EGFR,79,CVCL_1716
Almonertinib (hydrochloride),EGFR,79,CVCL_1717
Almonertinib (hydrochloride),EGFR,79,CVCL_1724
Almonertinib (hydrochloride),EGFR,79,CVCL_1731
Almonertinib (hydrochloride),EGFR,79,CVCL_C466
Amsacrine,TOP2A,253,CVCL_0023
Amsacrine,TOP2A,253,CVCL_0069
Amsacrine,TOP2A,253,CVCL_0099
Amsacrine,TOP2A,253,CVCL_0131
Amsacrine,TOP2A,253,CVCL_0152
Amsacrine,TOP2A,253,CVCL_0179
Amsacrine,TOP2A,253,CVCL_0218
Amsacrine,TOP2A,253,CVCL_0292
Amsacrine,TOP2A,253,CVCL_0293
Amsacrine,TOP2A,253,CVCL_0332
Amsacrine,TOP2A,253,CVCL_0334
Amsacrine,TOP2A,253,CVCL_0359
Amsacrine,TOP2A,253,CVCL_0366
Amsacrine,TOP2A,253,CVCL_0371
Amsacrine,TOP2A,253,CVCL_0397
Amsacrine,TOP2A,253,CVCL_0399
Amsacrine,TOP2A,253,CVCL_0428
Amsacrine,TOP2A,253,CVCL_0459
Amsacrine,TOP2A,253,CVCL_0480
Amsacrine,TOP2A,253,CVCL_0504
Amsacrine,TOP2A,253,CVCL_0546
Amsacrine,TOP2A,253,CVCL_1055
Amsacrine,TOP2A,253,CVCL_1056
Amsacrine,TOP2A,253,CVCL_1094
Amsacrine,TOP2A,253,CVCL_1097
Amsacrine,TOP2A,253,CVCL_1098
Amsacrine,TOP2A,253,CVCL_1119
Amsacrine,TOP2A,253,CVCL_1125
Amsacrine,TOP2A,253,CVCL_1239
Amsacrine,TOP2A,253,CVCL_1285
Amsacrine,TOP2A,253,CVCL_1381
Amsacrine,TOP2A,253,CVCL_1478
Amsacrine,TOP2A,253,CVCL_1495
Amsacrine,TOP2A,253,CVCL_1517
Amsacrine,TOP2A,253,CVCL_1531
Amsacrine,TOP2A,253,CVCL_1547
Amsacrine,TOP2A,253,CVCL_1550
Amsacrine,TOP2A,253,CVCL_1577
Amsacrine,TOP2A,253,CVCL_1635
Amsacrine,TOP2A,253,CVCL_1693
Amsacrine,TOP2A,253,CVCL_1715
Amsacrine,TOP2A,253,CVCL_1716
Amsacrine,TOP2A,253,CVCL_1717
Amsacrine,TOP2A,253,CVCL_1724
Amsacrine,TOP2A,253,CVCL_1731
Amsacrine,TOP2A,253,CVCL_C466
Balsalazide (sodium hydrate),IL6,126,CVCL_0023
Balsalazide (sodium hydrate),STAT3,247,CVCL_0023
Balsalazide (sodium hydrate),IL6,126,CVCL_0069
Balsalazide (sodium hydrate),STAT3,247,CVCL_0069
Balsalazide (sodium hydrate),IL6,126,CVCL_0099
Balsalazide (sodium hydrate),STAT3,247,CVCL_0099
Balsalazide (sodium hydrate),IL6,126,CVCL_0131
Balsalazide (sodium hydrate),STAT3,247,CVCL_0131
Balsalazide (sodium hydrate),IL6,126,CVCL_0152
Balsalazide (sodium hydrate),STAT3,247,CVCL_0152
Balsalazide (sodium hydrate),IL6,126,CVCL_0179
Balsalazide (sodium hydrate),STAT3,247,CVCL_0179
Balsalazide (sodium hydrate),IL6,126,CVCL_0218
Balsalazide (sodium hydrate),STAT3,247,CVCL_0218
Balsalazide (sodium hydrate),IL6,126,CVCL_0292
Balsalazide (sodium hydrate),STAT3,247,CVCL_0292
Balsalazide (sodium hydrate),IL6,126,CVCL_0293
Balsalazide (sodium hydrate),STAT3,247,CVCL_0293
Balsalazide (sodium hydrate),IL6,126,CVCL_0332
Balsalazide (sodium hydrate),STAT3,247,CVCL_0332
Balsalazide (sodium hydrate),IL6,126,CVCL_0334
Balsalazide (sodium hydrate),STAT3,247,CVCL_0334
Balsalazide (sodium hydrate),IL6,126,CVCL_0359
Balsalazide (sodium hydrate),STAT3,247,CVCL_0359
Balsalazide (sodium hydrate),IL6,126,CVCL_0366
Balsalazide (sodium hydrate),STAT3,247,CVCL_0366
Balsalazide (sodium hydrate),IL6,126,CVCL_0371
Balsalazide (sodium hydrate),STAT3,247,CVCL_0371
Balsalazide (sodium hydrate),IL6,126,CVCL_0397
Balsalazide (sodium hydrate),STAT3,247,CVCL_0397
Balsalazide (sodium hydrate),IL6,126,CVCL_0399
Balsalazide (sodium hydrate),STAT3,247,CVCL_0399
Balsalazide (sodium hydrate),IL6,126,CVCL_0428
Balsalazide (sodium hydrate),STAT3,247,CVCL_0428
Balsalazide (sodium hydrate),IL6,126,CVCL_0459
Balsalazide (sodium hydrate),STAT3,247,CVCL_0459
Balsalazide (sodium hydrate),IL6,126,CVCL_0480
Balsalazide (sodium hydrate),STAT3,247,CVCL_0480
Balsalazide (sodium hydrate),IL6,126,CVCL_0504
Balsalazide (sodium hydrate),STAT3,247,CVCL_0504
Balsalazide (sodium hydrate),IL6,126,CVCL_0546
Balsalazide (sodium hydrate),STAT3,247,CVCL_0546
Balsalazide (sodium hydrate),IL6,126,CVCL_1055
Balsalazide (sodium hydrate),STAT3,247,CVCL_1055
Balsalazide (sodium hydrate),IL6,126,CVCL_1056
Balsalazide (sodium hydrate),STAT3,247,CVCL_1056
Balsalazide (sodium hydrate),IL6,126,CVCL_1094
Balsalazide (sodium hydrate),STAT3,247,CVCL_1094
Balsalazide (sodium hydrate),IL6,126,CVCL_1097
Balsalazide (sodium hydrate),STAT3,247,CVCL_1097
Balsalazide (sodium hydrate),IL6,126,CVCL_1098
Balsalazide (sodium hydrate),STAT3,247,CVCL_1098
Balsalazide (sodium hydrate),IL6,126,CVCL_1119
Balsalazide (sodium hydrate),STAT3,247,CVCL_1119
Balsalazide (sodium hydrate),IL6,126,CVCL_1125
Balsalazide (sodium hydrate),STAT3,247,CVCL_1125
Balsalazide (sodium hydrate),IL6,126,CVCL_1239
Balsalazide (sodium hydrate),STAT3,247,CVCL_1239
Balsalazide (sodium hydrate),IL6,126,CVCL_1285
Balsalazide (sodium hydrate),STAT3,247,CVCL_1285
Balsalazide (sodium hydrate),IL6,126,CVCL_1381
Balsalazide (sodium hydrate),STAT3,247,CVCL_1381
Balsalazide (sodium hydrate),IL6,126,CVCL_1478
Balsalazide (sodium hydrate),STAT3,247,CVCL_1478
Balsalazide (sodium hydrate),IL6,126,CVCL_1495
Balsalazide (sodium hydrate),STAT3,247,CVCL_1495
Balsalazide (sodium hydrate),IL6,126,CVCL_1517
Balsalazide (sodium hydrate),STAT3,247,CVCL_1517
Balsalazide (sodium hydrate),IL6,126,CVCL_1531
Balsalazide (sodium hydrate),STAT3,247,CVCL_1531
Balsalazide (sodium hydrate),IL6,126,CVCL_1547
Balsalazide (sodium hydrate),STAT3,247,CVCL_1547
Balsalazide (sodium hydrate),IL6,126,CVCL_1550
Balsalazide (sodium hydrate),STAT3,247,CVCL_1550
Balsalazide (sodium hydrate),IL6,126,CVCL_1577
Balsalazide (sodium hydrate),STAT3,247,CVCL_1577
Balsalazide (sodium hydrate),IL6,126,CVCL_1635
Balsalazide (sodium hydrate),STAT3,247,CVCL_1635
Balsalazide (sodium hydrate),IL6,126,CVCL_1693
Balsalazide (sodium hydrate),STAT3,247,CVCL_1693
Balsalazide (sodium hydrate),IL6,126,CVCL_1715
Balsalazide (sodium hydrate),STAT3,247,CVCL_1715
Balsalazide (sodium hydrate),IL6,126,CVCL_1716
Balsalazide (sodium hydrate),STAT3,247,CVCL_1716
Balsalazide (sodium hydrate),IL6,126,CVCL_1717
Balsalazide (sodium hydrate),STAT3,247,CVCL_1717
Balsalazide (sodium hydrate),IL6,126,CVCL_1724
Balsalazide (sodium hydrate),STAT3,247,CVCL_1724
Balsalazide (sodium hydrate),IL6,126,CVCL_1731
Balsalazide (sodium hydrate),STAT3,247,CVCL_1731
Balsalazide (sodium hydrate),IL6,126,CVCL_C466
Balsalazide (sodium hydrate),STAT3,247,CVCL_C466
Berbamine,CACNA1C,37,CVCL_0023
Berbamine,CACNA1C,37,CVCL_0069
Berbamine,CACNA1C,37,CVCL_0099
Berbamine,CACNA1C,37,CVCL_0131
Berbamine,CACNA1C,37,CVCL_0152
Berbamine,CACNA1C,37,CVCL_0179
Berbamine,CACNA1C,37,CVCL_0292
Berbamine,CACNA1C,37,CVCL_0293
Berbamine,CACNA1C,37,CVCL_0320
Berbamine,CACNA1C,37,CVCL_0359
Berbamine,CACNA1C,37,CVCL_0366
Berbamine,CACNA1C,37,CVCL_0371
Berbamine,CACNA1C,37,CVCL_0397
Berbamine,CACNA1C,37,CVCL_0399
Berbamine,CACNA1C,37,CVCL_0428
Berbamine,CACNA1C,37,CVCL_0459
Berbamine,CACNA1C,37,CVCL_0480
Berbamine,CACNA1C,37,CVCL_0546
Berbamine,CACNA1C,37,CVCL_1055
Berbamine,CACNA1C,37,CVCL_1056
Berbamine,CACNA1C,37,CVCL_1119
Berbamine,CACNA1C,37,CVCL_1239
Berbamine,CACNA1C,37,CVCL_1285
Berbamine,CACNA1C,37,CVCL_1381
Berbamine,CACNA1C,37,CVCL_1478
Berbamine,CACNA1C,37,CVCL_1495
Berbamine,CACNA1C,37,CVCL_1531
Berbamine,CACNA1C,37,CVCL_1547
Berbamine,CACNA1C,37,CVCL_1550
Berbamine,CACNA1C,37,CVCL_1577
Berbamine,CACNA1C,37,CVCL_1635
Berbamine,CACNA1C,37,CVCL_1715
Berbamine,CACNA1C,37,CVCL_1716
Berbamine,CACNA1C,37,CVCL_1717
Berbamine,CACNA1C,37,CVCL_1724
Berbamine,CACNA1C,37,CVCL_1731
Cepharanthine,CYP2C9,65,CVCL_0023
Cepharanthine,CYP2E1,66,CVCL_0023
Cepharanthine,CYP3A4,67,CVCL_0023
Cepharanthine,CYP2C9,65,CVCL_0069
Cepharanthine,CYP2E1,66,CVCL_0069
Cepharanthine,CYP3A4,67,CVCL_0069
Cepharanthine,CYP2C9,65,CVCL_0099
Cepharanthine,CYP2E1,66,CVCL_0099
Cepharanthine,CYP3A4,67,CVCL_0099
Cepharanthine,CYP2C9,65,CVCL_0131
Cepharanthine,CYP2E1,66,CVCL_0131
Cepharanthine,CYP3A4,67,CVCL_0131
Cepharanthine,CYP2C9,65,CVCL_0152
Cepharanthine,CYP2E1,66,CVCL_0152
Cepharanthine,CYP3A4,67,CVCL_0152
Cepharanthine,CYP2C9,65,CVCL_0179
Cepharanthine,CYP2E1,66,CVCL_0179
Cepharanthine,CYP3A4,67,CVCL_0179
Cepharanthine,CYP2C9,65,CVCL_0292
Cepharanthine,CYP2E1,66,CVCL_0292
Cepharanthine,CYP3A4,67,CVCL_0292
Cepharanthine,CYP2C9,65,CVCL_0293
Cepharanthine,CYP2E1,66,CVCL_0293
Cepharanthine,CYP3A4,67,CVCL_0293
Cepharanthine,CYP2C9,65,CVCL_0320
Cepharanthine,CYP2E1,66,CVCL_0320
Cepharanthine,CYP3A4,67,CVCL_0320
Cepharanthine,CYP2C9,65,CVCL_0332
Cepharanthine,CYP2E1,66,CVCL_0332
Cepharanthine,CYP3A4,67,CVCL_0332
Cepharanthine,CYP2C9,65,CVCL_0359
Cepharanthine,CYP2E1,66,CVCL_0359
Cepharanthine,CYP3A4,67,CVCL_0359
Cepharanthine,CYP2C9,65,CVCL_0366
Cepharanthine,CYP2E1,66,CVCL_0366
Cepharanthine,CYP3A4,67,CVCL_0366
Cepharanthine,CYP2C9,65,CVCL_0371
Cepharanthine,CYP2E1,66,CVCL_0371
Cepharanthine,CYP3A4,67,CVCL_0371
Cepharanthine,CYP2C9,65,CVCL_0397
Cepharanthine,CYP2E1,66,CVCL_0397
Cepharanthine,CYP3A4,67,CVCL_0397
Cepharanthine,CYP2C9,65,CVCL_0399
Cepharanthine,CYP2E1,66,CVCL_0399
