drug,cell_line_id,n_rows,target_genes,gene_ranks,best_rank,n_in_top5,n_in_top10,n_in_top50,n_in_top100
Retinoic acid,CVCL_0397,1484,"PPARD,RARA,RARB,RARG","{'PPARD': 3557, 'RARA': inf, 'RARB': inf, 'RARG': inf}",3557.0,0,0,0,0
Retinoic acid,CVCL_1717,6320,"PPARD,RARA,RARB,RARG","{'PPARD': 3020, 'RARA': inf, 'RARB': 15592, 'RARG': 19465}",3020.0,0,0,0,0
Retinoic acid,CVCL_0131,1100,"PPARD,RARA,RARB,RARG","{'PPARD': 3009, 'RARA': inf, 'RARB': inf, 'RARG': 15076}",3009.0,0,0,0,0
Retinoic acid,CVCL_0293,4464,"PPARD,RARA,RARB,RARG","{'PPARD': 3137, 'RARA': inf, 'RARB': 13616, 'RARG': inf}",3137.0,0,0,0,0
Retinoic acid,CVCL_0428,628,"PPARD,RARA,RARB,RARG","{'PPARD': 11496, 'RARA': inf, 'RARB': inf, 'RARG': inf}",11496.0,0,0,0,0
Retinoic acid,CVCL_1635,4776,"PPARD,RARA,RARB,RARG","{'PPARD': 3611, 'RARA': inf, 'RARB': 14998, 'RARG': inf}",3611.0,0,0,0,0
Retinoic acid,CVCL_1547,6512,"PPARD,RARA,RARB,RARG","{'PPARD': 14346, 'RARA': inf, 'RARB': 11666, 'RARG': inf}",11666.0,0,0,0,0
Retinoic acid,CVCL_1119,5104,"PPARD,RARA,RARB,RARG","{'PPARD': 5907, 'RARA': inf, 'RARB': 10756, 'RARG': 16621}",5907.0,0,0,0,0
Retinoic acid,CVCL_0292,1636,"PPARD,RARA,RARB,RARG","{'PPARD': 3097, 'RARA': inf, 'RARB': inf, 'RARG': inf}",3097.0,0,0,0,0
Retinoic acid,CVCL_0366,2184,"PPARD,RARA,RARB,RARG","{'PPARD': 2658, 'RARA': inf, 'RARB': inf, 'RARG': inf}",2658.0,0,0,0,0
Retinoic acid,CVCL_1715,560,"PPARD,RARA,RARB,RARG","{'PPARD': 4029, 'RARA': inf, 'RARB': 11244, 'RARG': inf}",4029.0,0,0,0,0
Retinoic acid,CVCL_1577,340,"PPARD,RARA,RARB,RARG","{'PPARD': 1023, 'RARA': inf, 'RARB': inf, 'RARG': inf}",1023.0,0,0,0,0
Retinoic acid,CVCL_1495,5112,"PPARD,RARA,RARB,RARG","{'PPARD': 5923, 'RARA': inf, 'RARB': 14216, 'RARG': inf}",5923.0,0,0,0,0
Retinoic acid,CVCL_0459,1116,"PPARD,RARA,RARB,RARG","{'PPARD': 5000, 'RARA': inf, 'RARB': inf, 'RARG': inf}",5000.0,0,0,0,0
Retinoic acid,CVCL_1724,324,"PPARD,RARA,RARB,RARG","{'PPARD': 2239, 'RARA': inf, 'RARB': inf, 'RARG': inf}",2239.0,0,0,0,0
Retinoic acid,CVCL_1285,788,"PPARD,RARA,RARB,RARG","{'PPARD': 4759, 'RARA': inf, 'RARB': inf, 'RARG': inf}",4759.0,0,0,0,0
Retinoic acid,CVCL_0069,800,"PPARD,RARA,RARB,RARG","{'PPARD': 4298, 'RARA': inf, 'RARB': inf, 'RARG': inf}",4298.0,0,0,0,0
Pasireotide (acetate),CVCL_1724,324,"SSTR1,SSTR2,SSTR3,SSTR5","{'SSTR1': 2834, 'SSTR2': inf, 'SSTR3': inf, 'SSTR5': inf}",2834.0,0,0,0,0
Pasireotide (acetate),CVCL_1055,4748,"SSTR1,SSTR2,SSTR3,SSTR5","{'SSTR1': 12245, 'SSTR2': inf, 'SSTR3': inf, 'SSTR5': 9262}",9262.0,0,0,0,0
Pasireotide (acetate),CVCL_1119,4940,"SSTR1,SSTR2,SSTR3,SSTR5","{'SSTR1': 5900, 'SSTR2': inf, 'SSTR3': inf, 'SSTR5': 13217}",5900.0,0,0,0,0
Pasireotide (acetate),CVCL_1717,6236,"SSTR1,SSTR2,SSTR3,SSTR5","{'SSTR1': 2366, 'SSTR2': inf, 'SSTR3': inf, 'SSTR5': 10235}",2366.0,0,0,0,0
Pasireotide (acetate),CVCL_0371,7492,"SSTR1,SSTR2,SSTR3,SSTR5","{'SSTR1': 15795, 'SSTR2': inf, 'SSTR3': inf, 'SSTR5': 8379}",8379.0,0,0,0,0
Pasireotide (acetate),CVCL_1495,5504,"SSTR1,SSTR2,SSTR3,SSTR5","{'SSTR1': 2455, 'SSTR2': 15525, 'SSTR3': inf, 'SSTR5': 11152}",2455.0,0,0,0,0
Pasireotide (acetate),CVCL_1547,6464,"SSTR1,SSTR2,SSTR3,SSTR5","{'SSTR1': 1008, 'SSTR2': inf, 'SSTR3': inf, 'SSTR5': 9288}",1008.0,0,0,0,0
Pasireotide (acetate),CVCL_1550,7280,"SSTR1,SSTR2,SSTR3,SSTR5","{'SSTR1': 5183, 'SSTR2': 17526, 'SSTR3': inf, 'SSTR5': 12877}",5183.0,0,0,0,0
Pasireotide (acetate),CVCL_0428,636,"SSTR1,SSTR2,SSTR3,SSTR5","{'SSTR1': 3332, 'SSTR2': inf, 'SSTR3': inf, 'SSTR5': 11103}",3332.0,0,0,0,0
Pasireotide (acetate),CVCL_0397,1820,"SSTR1,SSTR2,SSTR3,SSTR5","{'SSTR1': 5644, 'SSTR2': inf, 'SSTR3': inf, 'SSTR5': 11812}",5644.0,0,0,0,0
Pasireotide (acetate),CVCL_0131,1436,"SSTR1,SSTR2,SSTR3,SSTR5","{'SSTR1': 5081, 'SSTR2': inf, 'SSTR3': inf, 'SSTR5': 12891}",5081.0,0,0,0,0
Pasireotide (acetate),CVCL_0480,11432,"SSTR1,SSTR2,SSTR3,SSTR5","{'SSTR1': 14635, 'SSTR2': 19147, 'SSTR3': inf, 'SSTR5': 8927}",8927.0,0,0,0,0
Pasireotide (acetate),CVCL_0293,4196,"SSTR1,SSTR2,SSTR3,SSTR5","{'SSTR1': 4491, 'SSTR2': 15622, 'SSTR3': inf, 'SSTR5': 7992}",4491.0,0,0,0,0
Pasireotide (acetate),CVCL_0292,1892,"SSTR1,SSTR2,SSTR3,SSTR5","{'SSTR1': 3136, 'SSTR2': inf, 'SSTR3': inf, 'SSTR5': 10717}",3136.0,0,0,0,0
Pasireotide (acetate),CVCL_1285,644,"SSTR1,SSTR2,SSTR3,SSTR5","{'SSTR1': 3332, 'SSTR2': inf, 'SSTR3': inf, 'SSTR5': inf}",3332.0,0,0,0,0
Pasireotide (acetate),CVCL_1635,5336,"SSTR1,SSTR2,SSTR3,SSTR5","{'SSTR1': 3779, 'SSTR2': inf, 'SSTR3': inf, 'SSTR5': 10284}",3779.0,0,0,0,0
Pasireotide (acetate),CVCL_0366,2468,"SSTR1,SSTR2,SSTR3,SSTR5","{'SSTR1': 3746, 'SSTR2': inf, 'SSTR3': inf, 'SSTR5': 16828}",3746.0,0,0,0,0
Pasireotide (acetate),CVCL_0099,176,"SSTR1,SSTR2,SSTR3,SSTR5","{'SSTR1': 1517, 'SSTR2': inf, 'SSTR3': inf, 'SSTR5': inf}",1517.0,0,0,0,0
Palmatine (chloride),CVCL_1550,1706,"IDO1,NS2B-NS3,WNV",{'IDO1': inf},inf,0,0,0,0
Palmatine (chloride),CVCL_1055,1224,"IDO1,NS2B-NS3,WNV",{'IDO1': inf},inf,0,0,0,0
Palmatine (chloride),CVCL_0480,2747,"IDO1,NS2B-NS3,WNV",{'IDO1': inf},inf,0,0,0,0
Palmatine (chloride),CVCL_0397,465,"IDO1,NS2B-NS3,WNV",{'IDO1': inf},inf,0,0,0,0
Palmatine (chloride),CVCL_1547,1750,"IDO1,NS2B-NS3,WNV",{'IDO1': inf},inf,0,0,0,0
Palmatine (chloride),CVCL_1635,1196,"IDO1,NS2B-NS3,WNV",{'IDO1': inf},inf,0,0,0,0
Palmatine (chloride),CVCL_0366,948,"IDO1,NS2B-NS3,WNV",{'IDO1': inf},inf,0,0,0,0
Palmatine (chloride),CVCL_0293,1329,"IDO1,NS2B-NS3,WNV",{'IDO1': inf},inf,0,0,0,0
Palmatine (chloride),CVCL_1731,4,"IDO1,NS2B-NS3,WNV",{'IDO1': inf},inf,0,0,0,0
Palmatine (chloride),CVCL_1119,1428,"IDO1,NS2B-NS3,WNV",{'IDO1': inf},inf,0,0,0,0
Palmatine (chloride),CVCL_1495,1307,"IDO1,NS2B-NS3,WNV",{'IDO1': inf},inf,0,0,0,0
Palmatine (chloride),CVCL_1717,1543,"IDO1,NS2B-NS3,WNV",{'IDO1': inf},inf,0,0,0,0
Palmatine (chloride),CVCL_1478,30,"IDO1,NS2B-NS3,WNV",{'IDO1': inf},inf,0,0,0,0
Palmatine (chloride),CVCL_0131,380,"IDO1,NS2B-NS3,WNV",{'IDO1': inf},inf,0,0,0,0
Palmatine (chloride),CVCL_0428,299,"IDO1,NS2B-NS3,WNV",{'IDO1': inf},inf,0,0,0,0
Palmatine (chloride),CVCL_0459,204,"IDO1,NS2B-NS3,WNV",{'IDO1': inf},inf,0,0,0,0
Palmatine (chloride),CVCL_0371,1933,"IDO1,NS2B-NS3,WNV",{'IDO1': inf},inf,0,0,0,0
Palmatine (chloride),CVCL_0069,352,"IDO1,NS2B-NS3,WNV",{'IDO1': inf},inf,0,0,0,0
Palmatine (chloride),CVCL_1577,94,"IDO1,NS2B-NS3,WNV",{'IDO1': inf},inf,0,0,0,0
Palmatine (chloride),CVCL_1531,26,"IDO1,NS2B-NS3,WNV",{'IDO1': inf},inf,0,0,0,0
Palmatine (chloride),CVCL_0292,410,"IDO1,NS2B-NS3,WNV",{'IDO1': inf},inf,0,0,0,0
Palmatine (chloride),CVCL_1285,123,"IDO1,NS2B-NS3,WNV",{'IDO1': inf},inf,0,0,0,0
Raltitrexed,CVCL_1119,1085,TYMS,{'TYMS': 15901},15901.0,0,0,0,0
Raltitrexed,CVCL_0371,1912,TYMS,{'TYMS': inf},inf,0,0,0,0
Raltitrexed,CVCL_1055,972,TYMS,{'TYMS': 18747},18747.0,0,0,0,0
Raltitrexed,CVCL_1495,1137,TYMS,{'TYMS': inf},inf,0,0,0,0
Raltitrexed,CVCL_0293,1141,TYMS,{'TYMS': inf},inf,0,0,0,0
Raltitrexed,CVCL_0366,613,TYMS,{'TYMS': inf},inf,0,0,0,0
Raltitrexed,CVCL_1285,248,TYMS,{'TYMS': inf},inf,0,0,0,0
Raltitrexed,CVCL_1724,123,TYMS,{'TYMS': inf},inf,0,0,0,0
Raltitrexed,CVCL_1550,1705,TYMS,{'TYMS': inf},inf,0,0,0,0
Raltitrexed,CVCL_0131,444,TYMS,{'TYMS': 13764},13764.0,0,0,0,0
Raltitrexed,CVCL_1717,1486,TYMS,{'TYMS': 17246},17246.0,0,0,0,0
Raltitrexed,CVCL_0397,441,TYMS,{'TYMS': 13029},13029.0,0,0,0,0
Raltitrexed,CVCL_0459,325,TYMS,{'TYMS': inf},inf,0,0,0,0
Raltitrexed,CVCL_1547,1368,TYMS,{'TYMS': 18682},18682.0,0,0,0,0
Raltitrexed,CVCL_1635,1235,TYMS,{'TYMS': 17532},17532.0,0,0,0,0
Raltitrexed,CVCL_0480,2488,TYMS,{'TYMS': inf},inf,0,0,0,0
Raltitrexed,CVCL_0292,578,TYMS,{'TYMS': inf},inf,0,0,0,0
Raltitrexed,CVCL_1531,28,TYMS,{'TYMS': inf},inf,0,0,0,0
Raltitrexed,CVCL_0359,18,TYMS,{'TYMS': inf},inf,0,0,0,0
Raltitrexed,CVCL_0152,60,TYMS,{'TYMS': inf},inf,0,0,0,0
Raltitrexed,CVCL_0428,157,TYMS,{'TYMS': inf},inf,0,0,0,0
Raltitrexed,CVCL_0069,210,TYMS,{'TYMS': inf},inf,0,0,0,0
Raltitrexed,CVCL_1715,174,TYMS,{'TYMS': 13654},13654.0,0,0,0,0
Furosemide,CVCL_0366,1312,"SLC12A1,SLC12A2","{'SLC12A1': inf, 'SLC12A2': inf}",inf,0,0,0,0
Furosemide,CVCL_1119,2258,"SLC12A1,SLC12A2","{'SLC12A1': inf, 'SLC12A2': inf}",inf,0,0,0,0
Furosemide,CVCL_1055,1718,"SLC12A1,SLC12A2","{'SLC12A1': inf, 'SLC12A2': inf}",inf,0,0,0,0
Furosemide,CVCL_1635,2120,"SLC12A1,SLC12A2","{'SLC12A1': inf, 'SLC12A2': inf}",inf,0,0,0,0
Furosemide,CVCL_0459,894,"SLC12A1,SLC12A2","{'SLC12A1': inf, 'SLC12A2': inf}",inf,0,0,0,0
Furosemide,CVCL_0480,4280,"SLC12A1,SLC12A2","{'SLC12A1': inf, 'SLC12A2': inf}",inf,0,0,0,0
Furosemide,CVCL_1717,2538,"SLC12A1,SLC12A2","{'SLC12A1': inf, 'SLC12A2': inf}",inf,0,0,0,0
Furosemide,CVCL_0131,1402,"SLC12A1,SLC12A2","{'SLC12A1': inf, 'SLC12A2': inf}",inf,0,0,0,0
Furosemide,CVCL_1547,2680,"SLC12A1,SLC12A2","{'SLC12A1': inf, 'SLC12A2': inf}",inf,0,0,0,0
Furosemide,CVCL_1550,3238,"SLC12A1,SLC12A2","{'SLC12A1': inf, 'SLC12A2': inf}",inf,0,0,0,0
Furosemide,CVCL_1724,304,"SLC12A1,SLC12A2","{'SLC12A1': inf, 'SLC12A2': inf}",inf,0,0,0,0
Furosemide,CVCL_1495,2098,"SLC12A1,SLC12A2","{'SLC12A1': inf, 'SLC12A2': inf}",inf,0,0,0,0
Furosemide,CVCL_0292,950,"SLC12A1,SLC12A2","{'SLC12A1': inf, 'SLC12A2': inf}",inf,0,0,0,0
Furosemide,CVCL_0069,672,"SLC12A1,SLC12A2","{'SLC12A1': inf, 'SLC12A2': inf}",inf,0,0,0,0
Furosemide,CVCL_0371,3100,"SLC12A1,SLC12A2","{'SLC12A1': inf, 'SLC12A2': inf}",inf,0,0,0,0
Furosemide,CVCL_1381,226,"SLC12A1,SLC12A2","{'SLC12A1': inf, 'SLC12A2': inf}",inf,0,0,0,0
Furosemide,CVCL_1577,126,"SLC12A1,SLC12A2","{'SLC12A1': inf, 'SLC12A2': inf}",inf,0,0,0,0
Furosemide,CVCL_0428,538,"SLC12A1,SLC12A2","{'SLC12A1': inf, 'SLC12A2': inf}",inf,0,0,0,0
Furosemide,CVCL_0293,2264,"SLC12A1,SLC12A2","{'SLC12A1': inf, 'SLC12A2': inf}",inf,0,0,0,0
Furosemide,CVCL_1731,240,"SLC12A1,SLC12A2","{'SLC12A1': inf, 'SLC12A2': inf}",inf,0,0,0,0
Furosemide,CVCL_1715,388,"SLC12A1,SLC12A2","{'SLC12A1': inf, 'SLC12A2': inf}",inf,0,0,0,0
Furosemide,CVCL_0359,98,"SLC12A1,SLC12A2","{'SLC12A1': inf, 'SLC12A2': inf}",inf,0,0,0,0
Clotrimazole,CVCL_0293,2616,"CYP2A6,CYP51A1","{'CYP2A6': inf, 'CYP51A1': 2199}",2199.0,0,0,0,0
Clotrimazole,CVCL_1495,2360,"CYP2A6,CYP51A1","{'CYP2A6': inf, 'CYP51A1': 2400}",2400.0,0,0,0,0
Clotrimazole,CVCL_0131,1052,"CYP2A6,CYP51A1","{'CYP2A6': inf, 'CYP51A1': 6688}",6688.0,0,0,0,0
Clotrimazole,CVCL_0480,4758,"CYP2A6,CYP51A1","{'CYP2A6': inf, 'CYP51A1': 10723}",10723.0,0,0,0,0
Clotrimazole,CVCL_1717,2806,"CYP2A6,CYP51A1","{'CYP2A6': inf, 'CYP51A1': 1809}",1809.0,0,0,0,0
Clotrimazole,CVCL_1550,3400,"CYP2A6,CYP51A1","{'CYP2A6': inf, 'CYP51A1': 4260}",4260.0,0,0,0,0
Clotrimazole,CVCL_1055,1758,"CYP2A6,CYP51A1","{'CYP2A6': inf, 'CYP51A1': 2386}",2386.0,0,0,0,0
Clotrimazole,CVCL_1119,2390,"CYP2A6,CYP51A1","{'CYP2A6': inf, 'CYP51A1': 4969}",4969.0,0,0,0,0
Clotrimazole,CVCL_0399,458,"CYP2A6,CYP51A1","{'CYP2A6': inf, 'CYP51A1': 2584}",2584.0,0,0,0,0
Clotrimazole,CVCL_0371,3316,"CYP2A6,CYP51A1","{'CYP2A6': inf, 'CYP51A1': 1991}",1991.0,0,0,0,0
Clotrimazole,CVCL_1635,2352,"CYP2A6,CYP51A1","{'CYP2A6': inf, 'CYP51A1': 4197}",4197.0,0,0,0,0
Clotrimazole,CVCL_0366,1374,"CYP2A6,CYP51A1","{'CYP2A6': inf, 'CYP51A1': 5470}",5470.0,0,0,0,0
Clotrimazole,CVCL_1715,336,"CYP2A6,CYP51A1","{'CYP2A6': inf, 'CYP51A1': 7561}",7561.0,0,0,0,0
Clotrimazole,CVCL_1547,2940,"CYP2A6,CYP51A1","{'CYP2A6': inf, 'CYP51A1': 1730}",1730.0,0,0,0,0
Clotrimazole,CVCL_0459,688,"CYP2A6,CYP51A1","{'CYP2A6': inf, 'CYP51A1': 4330}",4330.0,0,0,0,0
Clotrimazole,CVCL_0069,518,"CYP2A6,CYP51A1","{'CYP2A6': inf, 'CYP51A1': 4179}",4179.0,0,0,0,0
Clotrimazole,CVCL_0292,1150,"CYP2A6,CYP51A1","{'CYP2A6': inf, 'CYP51A1': 5965}",5965.0,0,0,0,0
Clotrimazole,CVCL_0397,1052,"CYP2A6,CYP51A1","{'CYP2A6': inf, 'CYP51A1': 3350}",3350.0,0,0,0,0
Clotrimazole,CVCL_0428,418,"CYP2A6,CYP51A1","{'CYP2A6': inf, 'CYP51A1': 3140}",3140.0,0,0,0,0
Clotrimazole,CVCL_0359,74,"CYP2A6,CYP51A1","{'CYP2A6': inf, 'CYP51A1': 3646}",3646.0,0,0,0,0
Sodium Salicylate,CVCL_0366,684,PTGS2,{'PTGS2': inf},inf,0,0,0,0
Sodium Salicylate,CVCL_1715,192,PTGS2,{'PTGS2': inf},inf,0,0,0,0
Sodium Salicylate,CVCL_0371,1831,PTGS2,{'PTGS2': inf},inf,0,0,0,0
Sodium Salicylate,CVCL_1577,72,PTGS2,{'PTGS2': inf},inf,0,0,0,0
Sodium Salicylate,CVCL_1635,1209,PTGS2,{'PTGS2': inf},inf,0,0,0,0
Sodium Salicylate,CVCL_1717,1465,PTGS2,{'PTGS2': inf},inf,0,0,0,0
Sodium Salicylate,CVCL_0480,2490,PTGS2,{'PTGS2': inf},inf,0,0,0,0
Sodium Salicylate,CVCL_0359,31,PTGS2,{'PTGS2': inf},inf,0,0,0,0
Sodium Salicylate,CVCL_0292,547,PTGS2,{'PTGS2': inf},inf,0,0,0,0
Sodium Salicylate,CVCL_1550,1676,PTGS2,{'PTGS2': inf},inf,0,0,0,0
Sodium Salicylate,CVCL_1547,1494,PTGS2,{'PTGS2': inf},inf,0,0,0,0
Sodium Salicylate,CVCL_0293,1224,PTGS2,{'PTGS2': inf},inf,0,0,0,0
Sodium Salicylate,CVCL_0069,216,PTGS2,{'PTGS2': inf},inf,0,0,0,0
Sodium Salicylate,CVCL_1055,930,PTGS2,{'PTGS2': inf},inf,0,0,0,0
Sodium Salicylate,CVCL_0397,485,PTGS2,{'PTGS2': inf},inf,0,0,0,0
Sodium Salicylate,CVCL_1495,1188,PTGS2,{'PTGS2': inf},inf,0,0,0,0
Sodium Salicylate,CVCL_1119,1134,PTGS2,{'PTGS2': inf},inf,0,0,0,0
Sodium Salicylate,CVCL_0459,285,PTGS2,{'PTGS2': inf},inf,0,0,0,0
Sodium Salicylate,CVCL_1285,234,PTGS2,{'PTGS2': inf},inf,0,0,0,0
Sodium Salicylate,CVCL_1381,58,PTGS2,{'PTGS2': inf},inf,0,0,0,0
(R)-Verapamil (hydrochloride),CVCL_0480,3095,ABCB1,{'ABCB1': inf},inf,0,0,0,0
(R)-Verapamil (hydrochloride),CVCL_1550,1685,ABCB1,{'ABCB1': inf},inf,0,0,0,0
(R)-Verapamil (hydrochloride),CVCL_1717,1444,ABCB1,{'ABCB1': inf},inf,0,0,0,0
(R)-Verapamil (hydrochloride),CVCL_0359,52,ABCB1,{'ABCB1': inf},inf,0,0,0,0
(R)-Verapamil (hydrochloride),CVCL_1055,1400,ABCB1,{'ABCB1': inf},inf,0,0,0,0
(R)-Verapamil (hydrochloride),CVCL_0131,495,ABCB1,{'ABCB1': inf},inf,0,0,0,0
(R)-Verapamil (hydrochloride),CVCL_1547,1849,ABCB1,{'ABCB1': inf},inf,0,0,0,0
(R)-Verapamil (hydrochloride),CVCL_0371,1804,ABCB1,{'ABCB1': inf},inf,0,0,0,0
(R)-Verapamil (hydrochloride),CVCL_0293,1018,ABCB1,{'ABCB1': inf},inf,0,0,0,0
(R)-Verapamil (hydrochloride),CVCL_0397,377,ABCB1,{'ABCB1': inf},inf,0,0,0,0
(R)-Verapamil (hydrochloride),CVCL_0459,175,ABCB1,{'ABCB1': inf},inf,0,0,0,0
(R)-Verapamil (hydrochloride),CVCL_1119,1320,ABCB1,{'ABCB1': inf},inf,0,0,0,0
(R)-Verapamil (hydrochloride),CVCL_0399,22,ABCB1,{'ABCB1': inf},inf,0,0,0,0
(R)-Verapamil (hydrochloride),CVCL_0292,546,ABCB1,{'ABCB1': inf},inf,0,0,0,0
(R)-Verapamil (hydrochloride),CVCL_1285,92,ABCB1,{'ABCB1': inf},inf,0,0,0,0
(R)-Verapamil (hydrochloride),CVCL_1635,1137,ABCB1,{'ABCB1': inf},inf,0,0,0,0
(R)-Verapamil (hydrochloride),CVCL_0366,966,ABCB1,{'ABCB1': inf},inf,0,0,0,0
(R)-Verapamil (hydrochloride),CVCL_0428,219,ABCB1,{'ABCB1': inf},inf,0,0,0,0
(R)-Verapamil (hydrochloride),CVCL_1495,1510,ABCB1,{'ABCB1': inf},inf,0,0,0,0
(R)-Verapamil (hydrochloride),CVCL_1478,27,ABCB1,{'ABCB1': inf},inf,0,0,0,0
(R)-Verapamil (hydrochloride),CVCL_0069,357,ABCB1,{'ABCB1': inf},inf,0,0,0,0
Temsirolimus,CVCL_1635,1127,MTOR,{'MTOR': inf},inf,0,0,0,0
Temsirolimus,CVCL_0292,436,MTOR,{'MTOR': inf},inf,0,0,0,0
Temsirolimus,CVCL_1717,1475,MTOR,{'MTOR': 17290},17290.0,0,0,0,0
Temsirolimus,CVCL_0397,453,MTOR,{'MTOR': inf},inf,0,0,0,0
Temsirolimus,CVCL_0366,1056,MTOR,{'MTOR': inf},inf,0,0,0,0
Temsirolimus,CVCL_1547,1723,MTOR,{'MTOR': inf},inf,0,0,0,0
Temsirolimus,CVCL_0480,2788,MTOR,{'MTOR': inf},inf,0,0,0,0
Temsirolimus,CVCL_1715,133,MTOR,{'MTOR': inf},inf,0,0,0,0
Temsirolimus,CVCL_0069,428,MTOR,{'MTOR': 12292},12292.0,0,0,0,0
Temsirolimus,CVCL_1550,1632,MTOR,{'MTOR': inf},inf,0,0,0,0
Temsirolimus,CVCL_0428,402,MTOR,{'MTOR': inf},inf,0,0,0,0
Temsirolimus,CVCL_1495,1325,MTOR,{'MTOR': 16036},16036.0,0,0,0,0
Temsirolimus,CVCL_0371,1738,MTOR,{'MTOR': inf},inf,0,0,0,0
Temsirolimus,CVCL_1119,1313,MTOR,{'MTOR': 10410},10410.0,0,0,0,0
Temsirolimus,CVCL_0131,616,MTOR,{'MTOR': inf},inf,0,0,0,0
Temsirolimus,CVCL_0359,98,MTOR,{'MTOR': inf},inf,0,0,0,0
Temsirolimus,CVCL_1055,1355,MTOR,{'MTOR': 16726},16726.0,0,0,0,0
Temsirolimus,CVCL_0293,1203,MTOR,{'MTOR': inf},inf,0,0,0,0
Temsirolimus,CVCL_1285,136,MTOR,{'MTOR': inf},inf,0,0,0,0
Temsirolimus,CVCL_0320,4,MTOR,{'MTOR': inf},inf,0,0,0,0
Temsirolimus,CVCL_0546,3,MTOR,{'MTOR': inf},inf,0,0,0,0
Temsirolimus,CVCL_0459,129,MTOR,{'MTOR': inf},inf,0,0,0,0
Tofacitinib,CVCL_1635,2994,"JAK1,JAK2,JAK3","{'JAK1': 10218, 'JAK2': inf, 'JAK3': inf}",10218.0,0,0,0,0
Tofacitinib,CVCL_0480,6276,"JAK1,JAK2,JAK3","{'JAK1': 5768, 'JAK2': inf, 'JAK3': inf}",5768.0,0,0,0,0
Tofacitinib,CVCL_0359,93,"JAK1,JAK2,JAK3","{'JAK1': inf, 'JAK2': inf, 'JAK3': inf}",inf,0,0,0,0
Tofacitinib,CVCL_0293,3882,"JAK1,JAK2,JAK3","{'JAK1': 11076, 'JAK2': inf, 'JAK3': inf}",11076.0,0,0,0,0
Tofacitinib,CVCL_0371,5370,"JAK1,JAK2,JAK3","{'JAK1': 2476, 'JAK2': inf, 'JAK3': inf}",2476.0,0,0,0,0
Tofacitinib,CVCL_1715,438,"JAK1,JAK2,JAK3","{'JAK1': 5359, 'JAK2': inf, 'JAK3': inf}",5359.0,0,0,0,0
Tofacitinib,CVCL_0397,2016,"JAK1,JAK2,JAK3","{'JAK1': 10421, 'JAK2': inf, 'JAK3': inf}",10421.0,0,0,0,0
Tofacitinib,CVCL_1717,4080,"JAK1,JAK2,JAK3","{'JAK1': 6994, 'JAK2': inf, 'JAK3': inf}",6994.0,0,0,0,0
