drug,cell_line_id,n_cells,target_genes,gene_ranks,n_in_top5,n_in_top10,n_in_top50,n_in_top100,best_rank
(R)-Verapamil (hydrochloride),CVCL_0152,12,ABCB1,{'ABCB1': 12676},0,0,0,0,12676
(R)-Verapamil (hydrochloride),CVCL_1731,5,ABCB1,{'ABCB1': 11631},0,0,0,0,11631
(R)-Verapamil (hydrochloride),CVCL_1715,125,ABCB1,{'ABCB1': 3597},0,0,0,0,3597
(R)-Verapamil (hydrochloride),CVCL_0546,2,ABCB1,{'ABCB1': 11363},0,0,0,0,11363
(R)-Verapamil (hydrochloride),CVCL_1531,28,ABCB1,{'ABCB1': 5856},0,0,0,0,5856
(R)-Verapamil (hydrochloride),CVCL_0099,24,ABCB1,{'ABCB1': 2033},0,0,0,0,2033
(R)-Verapamil (hydrochloride),CVCL_0320,5,ABCB1,{'ABCB1': 12315},0,0,0,0,12315
(R)-Verapamil (hydrochloride),CVCL_1239,4,ABCB1,{'ABCB1': 11617},0,0,0,0,11617
(R)-Verapamil (hydrochloride),CVCL_0023,2,ABCB1,{'ABCB1': 10796},0,0,0,0,10796
(R)-Verapamil (hydrochloride),CVCL_1381,1,ABCB1,{'ABCB1': 11064},0,0,0,0,11064
(R)-Verapamil (hydrochloride),CVCL_0179,1,ABCB1,{'ABCB1': 11002},0,0,0,0,11002
Adagrasib,CVCL_1055,1149,KRAS,{'KRAS': 7268},0,0,0,0,7268
Adagrasib,CVCL_0480,2837,KRAS,{'KRAS': 7778},0,0,0,0,7778
Adagrasib,CVCL_1495,1160,KRAS,{'KRAS': 1213},0,0,0,0,1213
Adagrasib,CVCL_1547,1611,KRAS,{'KRAS': 3127},0,0,0,0,3127
Adagrasib,CVCL_0371,1998,KRAS,{'KRAS': 635},0,0,0,0,635
Adagrasib,CVCL_1717,1690,KRAS,{'KRAS': 2811},0,0,0,0,2811
Adagrasib,CVCL_0366,931,KRAS,{'KRAS': 442},0,0,0,0,442
Adagrasib,CVCL_0397,512,KRAS,{'KRAS': 779},0,0,0,0,779
Adagrasib,CVCL_1119,1251,KRAS,{'KRAS': 1072},0,0,0,0,1072
Adagrasib,CVCL_1550,1580,KRAS,{'KRAS': 1907},0,0,0,0,1907
Adagrasib,CVCL_0131,601,KRAS,{'KRAS': 561},0,0,0,0,561
Adagrasib,CVCL_0293,1365,KRAS,{'KRAS': 690},0,0,0,0,690
Adagrasib,CVCL_0152,40,KRAS,{'KRAS': 2606},0,0,0,0,2606
Adagrasib,CVCL_1724,134,KRAS,{'KRAS': 1723},0,0,0,0,1723
Adagrasib,CVCL_1635,1210,KRAS,{'KRAS': 2426},0,0,0,0,2426
Adagrasib,CVCL_0359,67,KRAS,{'KRAS': 1142},0,0,0,0,1142
Adagrasib,CVCL_0546,1,KRAS,{'KRAS': 12064},0,0,0,0,12064
Adagrasib,CVCL_1285,107,KRAS,{'KRAS': 729},0,0,0,0,729
Adagrasib,CVCL_0428,203,KRAS,{'KRAS': 820},0,0,0,0,820
Adagrasib,CVCL_0399,61,KRAS,{'KRAS': 2538},0,0,0,0,2538
Adagrasib,CVCL_0292,573,KRAS,{'KRAS': 651},0,0,0,0,651
Adagrasib,CVCL_1715,165,KRAS,{'KRAS': 4040},0,0,0,0,4040
Adagrasib,CVCL_0069,350,KRAS,{'KRAS': 625},0,0,0,0,625
Adagrasib,CVCL_0459,189,KRAS,{'KRAS': 1032},0,0,0,0,1032
Adagrasib,CVCL_1478,41,KRAS,{'KRAS': 2656},0,0,0,0,2656
Adagrasib,CVCL_1097,4,KRAS,{'KRAS': 1879},0,0,0,0,1879
Adagrasib,CVCL_1577,84,KRAS,{'KRAS': 3012},0,0,0,0,3012
Adagrasib,CVCL_1531,28,KRAS,{'KRAS': 7136},0,0,0,0,7136
Adagrasib,CVCL_0099,35,KRAS,{'KRAS': 2054},0,0,0,0,2054
Adagrasib,CVCL_1239,6,KRAS,{'KRAS': 384},0,0,0,0,384
Adagrasib,CVCL_1381,3,KRAS,{'KRAS': 12377},0,0,0,0,12377
Adagrasib,CVCL_0504,5,KRAS,{'KRAS': 1303},0,0,0,0,1303
Adagrasib,CVCL_0179,1,KRAS,{'KRAS': 12341},0,0,0,0,12341
Adagrasib,CVCL_1716,2,KRAS,{'KRAS': 12319},0,0,0,0,12319
Adagrasib,CVCL_0332,3,KRAS,{'KRAS': 1403},0,0,0,0,1403
Adagrasib,CVCL_1056,1,KRAS,{'KRAS': 12128},0,0,0,0,12128
Adagrasib,CVCL_C466,1,KRAS,{'KRAS': 12060},0,0,0,0,12060
Adagrasib,CVCL_1731,1,KRAS,{'KRAS': 520},0,0,0,0,520
Adenosine,CVCL_0366,2932,"ADORA1,ADORA2A,ADORA2B,ADORA3","{'ADORA1': 29921, 'ADORA2A': 13013, 'ADORA2B': 10890, 'ADORA3': inf}",0,0,0,0,10890
Adenosine,CVCL_1635,3940,"ADORA1,ADORA2A,ADORA2B,ADORA3","{'ADORA1': 30155, 'ADORA2A': 10182, 'ADORA2B': 6896, 'ADORA3': inf}",0,0,0,0,6896
Adenosine,CVCL_0480,9764,"ADORA1,ADORA2A,ADORA2B,ADORA3","{'ADORA1': 16452, 'ADORA2A': 11225, 'ADORA2B': 13450, 'ADORA3': inf}",0,0,0,0,11225
Adenosine,CVCL_0131,2664,"ADORA1,ADORA2A,ADORA2B,ADORA3","{'ADORA1': 13746, 'ADORA2A': 13962, 'ADORA2B': 7739, 'ADORA3': inf}",0,0,0,0,7739
Adenosine,CVCL_1717,4904,"ADORA1,ADORA2A,ADORA2B,ADORA3","{'ADORA1': 15159, 'ADORA2A': 12841, 'ADORA2B': 7884, 'ADORA3': inf}",0,0,0,0,7884
Adenosine,CVCL_1495,4740,"ADORA1,ADORA2A,ADORA2B,ADORA3","{'ADORA1': 30654, 'ADORA2A': 15096, 'ADORA2B': 6902, 'ADORA3': inf}",0,0,0,0,6902
Adenosine,CVCL_0459,1476,"ADORA1,ADORA2A,ADORA2B,ADORA3","{'ADORA1': 14815, 'ADORA2A': 18030, 'ADORA2B': 6573, 'ADORA3': inf}",0,0,0,0,6573
Adenosine,CVCL_0428,1052,"ADORA1,ADORA2A,ADORA2B,ADORA3","{'ADORA1': 27738, 'ADORA2A': 7674, 'ADORA2B': 7429, 'ADORA3': inf}",0,0,0,0,7429
Adenosine,CVCL_1715,468,"ADORA1,ADORA2A,ADORA2B,ADORA3","{'ADORA1': 28571, 'ADORA2A': 13315, 'ADORA2B': 30697, 'ADORA3': inf}",0,0,0,0,13315
Adenosine,CVCL_1119,4616,"ADORA1,ADORA2A,ADORA2B,ADORA3","{'ADORA1': 14644, 'ADORA2A': 15524, 'ADORA2B': 10988, 'ADORA3': inf}",0,0,0,0,10988
Adenosine,CVCL_1285,1372,"ADORA1,ADORA2A,ADORA2B,ADORA3","{'ADORA1': 28199, 'ADORA2A': 15704, 'ADORA2B': 7202, 'ADORA3': inf}",0,0,0,0,7202
Adenosine,CVCL_1547,5660,"ADORA1,ADORA2A,ADORA2B,ADORA3","{'ADORA1': 13957, 'ADORA2A': 11684, 'ADORA2B': 9069, 'ADORA3': inf}",0,0,0,0,9069
Adenosine,CVCL_1531,76,"ADORA1,ADORA2A,ADORA2B,ADORA3","{'ADORA1': 11483, 'ADORA2A': 16700, 'ADORA2B': 10009, 'ADORA3': inf}",0,0,0,0,10009
Adenosine,CVCL_1550,6828,"ADORA1,ADORA2A,ADORA2B,ADORA3","{'ADORA1': 18418, 'ADORA2A': 10163, 'ADORA2B': 10812, 'ADORA3': inf}",0,0,0,0,10163
Adenosine,CVCL_0371,5952,"ADORA1,ADORA2A,ADORA2B,ADORA3","{'ADORA1': 14823, 'ADORA2A': 15427, 'ADORA2B': 5050, 'ADORA3': inf}",0,0,0,0,5050
Adenosine,CVCL_1055,4240,"ADORA1,ADORA2A,ADORA2B,ADORA3","{'ADORA1': 14061, 'ADORA2A': 7400, 'ADORA2B': 7810, 'ADORA3': inf}",0,0,0,0,7400
Adenosine,CVCL_0293,4224,"ADORA1,ADORA2A,ADORA2B,ADORA3","{'ADORA1': 29839, 'ADORA2A': 12156, 'ADORA2B': 7019, 'ADORA3': inf}",0,0,0,0,7019
Adenosine,CVCL_0397,1816,"ADORA1,ADORA2A,ADORA2B,ADORA3","{'ADORA1': 15322, 'ADORA2A': 17317, 'ADORA2B': 9249, 'ADORA3': inf}",0,0,0,0,9249
Adenosine,CVCL_0069,1448,"ADORA1,ADORA2A,ADORA2B,ADORA3","{'ADORA1': 13818, 'ADORA2A': 9408, 'ADORA2B': 6038, 'ADORA3': inf}",0,0,0,0,6038
Adenosine,CVCL_1731,508,"ADORA1,ADORA2A,ADORA2B,ADORA3","{'ADORA1': 27906, 'ADORA2A': 12667, 'ADORA2B': 5910, 'ADORA3': inf}",0,0,0,0,5910
Adenosine,CVCL_0292,2136,"ADORA1,ADORA2A,ADORA2B,ADORA3","{'ADORA1': 27439, 'ADORA2A': 12627, 'ADORA2B': 10152, 'ADORA3': inf}",0,0,0,0,10152
Adenosine,CVCL_0359,156,"ADORA1,ADORA2A,ADORA2B,ADORA3","{'ADORA1': 9132, 'ADORA2A': 3080, 'ADORA2B': 9961, 'ADORA3': inf}",0,0,0,0,3080
Adenosine,CVCL_1724,512,"ADORA1,ADORA2A,ADORA2B,ADORA3","{'ADORA1': 13519, 'ADORA2A': 8606, 'ADORA2B': 11585, 'ADORA3': inf}",0,0,0,0,8606
Adenosine,CVCL_0152,312,"ADORA1,ADORA2A,ADORA2B,ADORA3","{'ADORA1': 9676, 'ADORA2A': 14022, 'ADORA2B': 4428, 'ADORA3': inf}",0,0,0,0,4428
Adenosine,CVCL_1577,300,"ADORA1,ADORA2A,ADORA2B,ADORA3","{'ADORA1': 26981, 'ADORA2A': 7682, 'ADORA2B': 10467, 'ADORA3': inf}",0,0,0,0,7682
Adenosine,CVCL_1097,576,"ADORA1,ADORA2A,ADORA2B,ADORA3","{'ADORA1': 28568, 'ADORA2A': 5177, 'ADORA2B': 8855, 'ADORA3': inf}",0,0,0,0,5177
Adenosine,CVCL_0399,996,"ADORA1,ADORA2A,ADORA2B,ADORA3","{'ADORA1': 15667, 'ADORA2A': 9683, 'ADORA2B': 8398, 'ADORA3': inf}",0,0,0,0,8398
Adenosine,CVCL_1478,108,"ADORA1,ADORA2A,ADORA2B,ADORA3","{'ADORA1': 8201, 'ADORA2A': 3364, 'ADORA2B': 5175, 'ADORA3': inf}",0,0,0,0,3364
Adenosine,CVCL_0099,280,"ADORA1,ADORA2A,ADORA2B,ADORA3","{'ADORA1': 11808, 'ADORA2A': 17849, 'ADORA2B': 3966, 'ADORA3': inf}",0,0,0,0,3966
Adenosine,CVCL_1381,236,"ADORA1,ADORA2A,ADORA2B,ADORA3","{'ADORA1': 10749, 'ADORA2A': 14480, 'ADORA2B': 11429, 'ADORA3': inf}",0,0,0,0,10749
Adenosine,CVCL_1056,768,"ADORA1,ADORA2A,ADORA2B,ADORA3","{'ADORA1': 9428, 'ADORA2A': 9381, 'ADORA2B': 4803, 'ADORA3': inf}",0,0,0,0,4803
Adenosine,CVCL_1517,668,"ADORA1,ADORA2A,ADORA2B,ADORA3","{'ADORA1': 28063, 'ADORA2A': 10383, 'ADORA2B': 5214, 'ADORA3': inf}",0,0,0,0,5214
Adenosine,CVCL_0023,740,"ADORA1,ADORA2A,ADORA2B,ADORA3","{'ADORA1': 28788, 'ADORA2A': 11630, 'ADORA2B': 5955, 'ADORA3': inf}",0,0,0,0,5955
Adenosine,CVCL_1125,12,"ADORA1,ADORA2A,ADORA2B,ADORA3","{'ADORA1': 2715, 'ADORA2A': 15255, 'ADORA2B': 8366, 'ADORA3': inf}",0,0,0,0,2715
Adenosine,CVCL_1239,196,"ADORA1,ADORA2A,ADORA2B,ADORA3","{'ADORA1': 10402, 'ADORA2A': 12361, 'ADORA2B': 27616, 'ADORA3': inf}",0,0,0,0,10402
Adenosine,CVCL_C466,480,"ADORA1,ADORA2A,ADORA2B,ADORA3","{'ADORA1': 27711, 'ADORA2A': 12571, 'ADORA2B': 9574, 'ADORA3': inf}",0,0,0,0,9574
Adenosine,CVCL_0218,164,"ADORA1,ADORA2A,ADORA2B,ADORA3","{'ADORA1': 8553, 'ADORA2A': 14234, 'ADORA2B': 10322, 'ADORA3': inf}",0,0,0,0,8553
Adenosine,CVCL_1693,280,"ADORA1,ADORA2A,ADORA2B,ADORA3","{'ADORA1': 28838, 'ADORA2A': 3577, 'ADORA2B': 1946, 'ADORA3': inf}",0,0,0,0,1946
Adenosine,CVCL_0332,428,"ADORA1,ADORA2A,ADORA2B,ADORA3","{'ADORA1': 27940, 'ADORA2A': 19529, 'ADORA2B': 9192, 'ADORA3': inf}",0,0,0,0,9192
Adenosine,CVCL_0504,352,"ADORA1,ADORA2A,ADORA2B,ADORA3","{'ADORA1': 11902, 'ADORA2A': 9625, 'ADORA2B': 6586, 'ADORA3': inf}",0,0,0,0,6586
Adenosine,CVCL_0334,152,"ADORA1,ADORA2A,ADORA2B,ADORA3","{'ADORA1': 10618, 'ADORA2A': 14569, 'ADORA2B': 11452, 'ADORA3': inf}",0,0,0,0,10618
Adenosine,CVCL_0546,268,"ADORA1,ADORA2A,ADORA2B,ADORA3","{'ADORA1': 16799, 'ADORA2A': 13862, 'ADORA2B': 8294, 'ADORA3': inf}",0,0,0,0,8294
Adenosine,CVCL_1098,408,"ADORA1,ADORA2A,ADORA2B,ADORA3","{'ADORA1': 27653, 'ADORA2A': 11323, 'ADORA2B': 10227, 'ADORA3': inf}",0,0,0,0,10227
Adenosine,CVCL_1094,408,"ADORA1,ADORA2A,ADORA2B,ADORA3","{'ADORA1': 27878, 'ADORA2A': 6489, 'ADORA2B': 7257, 'ADORA3': inf}",0,0,0,0,6489
Adenosine,CVCL_0179,348,"ADORA1,ADORA2A,ADORA2B,ADORA3","{'ADORA1': 14218, 'ADORA2A': 5388, 'ADORA2B': 7080, 'ADORA3': inf}",0,0,0,0,5388
Adenosine,CVCL_1716,36,"ADORA1,ADORA2A,ADORA2B,ADORA3","{'ADORA1': 7956, 'ADORA2A': 16605, 'ADORA2B': 7242, 'ADORA3': inf}",0,0,0,0,7242
Aliskiren,CVCL_1119,1319,REN,{'REN': 13419},0,0,0,0,13419
Aliskiren,CVCL_1495,1344,REN,{'REN': 5703},0,0,0,0,5703
Aliskiren,CVCL_0371,1978,REN,{'REN': 13758},0,0,0,0,13758
Aliskiren,CVCL_1550,1818,REN,{'REN': 13443},0,0,0,0,13443
Aliskiren,CVCL_0397,528,REN,{'REN': 12036},0,0,0,0,12036
Aliskiren,CVCL_0480,2699,REN,{'REN': 13913},0,0,0,0,13913
Aliskiren,CVCL_0293,1381,REN,{'REN': 13251},0,0,0,0,13251
Aliskiren,CVCL_1547,1702,REN,{'REN': 11659},0,0,0,0,11659
Aliskiren,CVCL_1635,1366,REN,{'REN': 12716},0,0,0,0,12716
Aliskiren,CVCL_1055,986,REN,{'REN': 16063},0,0,0,0,16063
Aliskiren,CVCL_0131,468,REN,{'REN': 3641},0,0,0,0,3641
Aliskiren,CVCL_0292,695,REN,{'REN': 13193},0,0,0,0,13193
Aliskiren,CVCL_1717,1747,REN,{'REN': 14764},0,0,0,0,14764
Aliskiren,CVCL_0459,101,REN,{'REN': 6882},0,0,0,0,6882
Aliskiren,CVCL_1715,227,REN,{'REN': 9425},0,0,0,0,9425
Aliskiren,CVCL_0428,160,REN,{'REN': 15096},0,0,0,0,15096
Aliskiren,CVCL_1724,78,REN,{'REN': 6203},0,0,0,0,6203
Aliskiren,CVCL_0366,778,REN,{'REN': 13720},0,0,0,0,13720
Aliskiren,CVCL_0069,302,REN,{'REN': 17500},0,0,0,0,17500
Aliskiren,CVCL_1577,69,REN,{'REN': 7055},0,0,0,0,7055
Aliskiren,CVCL_0359,21,REN,{'REN': 15056},0,0,0,0,15056
Aliskiren,CVCL_1285,90,REN,{'REN': 15395},0,0,0,0,15395
Aliskiren,CVCL_0152,18,REN,{'REN': 14787},0,0,0,0,14787
Aliskiren,CVCL_0504,4,REN,{'REN': 3597},0,0,0,0,3597
Aliskiren,CVCL_0399,44,REN,{'REN': 13470},0,0,0,0,13470
Aliskiren,CVCL_1239,2,REN,{'REN': 3458},0,0,0,0,3458
Aliskiren,CVCL_1478,26,REN,{'REN': 15042},0,0,0,0,15042
Aliskiren,CVCL_1125,1,REN,{'REN': 3014},0,0,0,0,3014
Aliskiren,CVCL_1531,25,REN,{'REN': 8071},0,0,0,0,8071
Aliskiren,CVCL_0099,16,REN,{'REN': 14144},0,0,0,0,14144
Aliskiren,CVCL_1731,2,REN,{'REN': 3281},0,0,0,0,3281
Aliskiren,CVCL_1098,1,REN,{'REN': 3027},0,0,0,0,3027
Aliskiren,CVCL_1716,1,REN,{'REN': 3008},0,0,0,0,3008
Aliskiren,CVCL_0320,1,REN,{'REN': 3101},0,0,0,0,3101
Aliskiren,CVCL_0332,1,REN,{'REN': 3029},0,0,0,0,3029
Aliskiren,CVCL_C466,1,REN,{'REN': 2985},0,0,0,0,2985
Almonertinib (hydrochloride),CVCL_0371,1536,EGFR,{'EGFR': 12978},0,0,0,0,12978
Almonertinib (hydrochloride),CVCL_1635,979,EGFR,{'EGFR': 13976},0,0,0,0,13976
Almonertinib (hydrochloride),CVCL_1717,1283,EGFR,{'EGFR': 14253},0,0,0,0,14253
Almonertinib (hydrochloride),CVCL_0397,380,EGFR,{'EGFR': 18329},0,0,0,0,18329
Almonertinib (hydrochloride),CVCL_1547,1346,EGFR,{'EGFR': 12124},0,0,0,0,12124
Almonertinib (hydrochloride),CVCL_1055,1192,EGFR,{'EGFR': 11838},0,0,0,0,11838
Almonertinib (hydrochloride),CVCL_0131,556,EGFR,{'EGFR': 11276},0,0,0,0,11276
Almonertinib (hydrochloride),CVCL_1550,1731,EGFR,{'EGFR': 15837},0,0,0,0,15837
Almonertinib (hydrochloride),CVCL_1119,1216,EGFR,{'EGFR': 13368},0,0,0,0,13368
Almonertinib (hydrochloride),CVCL_0069,265,EGFR,{'EGFR': 15313},0,0,0,0,15313
Almonertinib (hydrochloride),CVCL_0480,2077,EGFR,{'EGFR': 13836},0,0,0,0,13836
Almonertinib (hydrochloride),CVCL_0293,1158,EGFR,{'EGFR': 14256},0,0,0,0,14256
Almonertinib (hydrochloride),CVCL_1495,1005,EGFR,{'EGFR': 13283},0,0,0,0,13283
Almonertinib (hydrochloride),CVCL_0366,560,EGFR,{'EGFR': 13156},0,0,0,0,13156
Almonertinib (hydrochloride),CVCL_0428,266,EGFR,{'EGFR': 16465},0,0,0,0,16465
Almonertinib (hydrochloride),CVCL_0292,460,EGFR,{'EGFR': 14295},0,0,0,0,14295
Almonertinib (hydrochloride),CVCL_0359,34,EGFR,{'EGFR': 16579},0,0,0,0,16579
Almonertinib (hydrochloride),CVCL_0459,427,EGFR,{'EGFR': 14577},0,0,0,0,14577
Almonertinib (hydrochloride),CVCL_1478,23,EGFR,{'EGFR': 14523},0,0,0,0,14523
Almonertinib (hydrochloride),CVCL_0399,312,EGFR,{'EGFR': 15066},0,0,0,0,15066
Almonertinib (hydrochloride),CVCL_1724,116,EGFR,{'EGFR': 9547},0,0,0,0,9547
Almonertinib (hydrochloride),CVCL_1577,92,EGFR,{'EGFR': 12130},0,0,0,0,12130
Almonertinib (hydrochloride),CVCL_1285,402,EGFR,{'EGFR': 14749},0,0,0,0,14749
Almonertinib (hydrochloride),CVCL_0152,128,EGFR,{'EGFR': 16006},0,0,0,0,16006
Almonertinib (hydrochloride),CVCL_1715,103,EGFR,{'EGFR': 14813},0,0,0,0,14813
Almonertinib (hydrochloride),CVCL_0099,82,EGFR,{'EGFR': 15138},0,0,0,0,15138
Almonertinib (hydrochloride),CVCL_1531,24,EGFR,{'EGFR': 16261},0,0,0,0,16261
Almonertinib (hydrochloride),CVCL_1381,121,EGFR,{'EGFR': 9670},0,0,0,0,9670
Almonertinib (hydrochloride),CVCL_1056,257,EGFR,{'EGFR': 13278},0,0,0,0,13278
Almonertinib (hydrochloride),CVCL_1125,2,EGFR,{'EGFR': 2683},0,0,0,0,2683
Almonertinib (hydrochloride),CVCL_0546,94,EGFR,{'EGFR': 17701},0,0,0,0,17701
Almonertinib (hydrochloride),CVCL_1094,114,EGFR,{'EGFR': 14448},0,0,0,0,14448
Almonertinib (hydrochloride),CVCL_0179,123,EGFR,{'EGFR': 16099},0,0,0,0,16099
Almonertinib (hydrochloride),CVCL_0023,261,EGFR,{'EGFR': 10260},0,0,0,0,10260
Almonertinib (hydrochloride),CVCL_1097,149,EGFR,{'EGFR': 18116},0,0,0,0,18116
Almonertinib (hydrochloride),CVCL_0218,63,EGFR,{'EGFR': 16944},0,0,0,0,16944
Almonertinib (hydrochloride),CVCL_1517,228,EGFR,{'EGFR': 11781},0,0,0,0,11781
Almonertinib (hydrochloride),CVCL_0334,78,EGFR,{'EGFR': 15351},0,0,0,0,15351
Almonertinib (hydrochloride),CVCL_1239,70,EGFR,{'EGFR': 9962},0,0,0,0,9962
Almonertinib (hydrochloride),CVCL_0504,107,EGFR,{'EGFR': 9561},0,0,0,0,9561
Almonertinib (hydrochloride),CVCL_C466,118,EGFR,{'EGFR': 12229},0,0,0,0,12229
Almonertinib (hydrochloride),CVCL_0332,145,EGFR,{'EGFR': 14831},0,0,0,0,14831
Almonertinib (hydrochloride),CVCL_1693,94,EGFR,{'EGFR': 10172},0,0,0,0,10172
Almonertinib (hydrochloride),CVCL_1098,86,EGFR,{'EGFR': 14715},0,0,0,0,14715
Almonertinib (hydrochloride),CVCL_1731,132,EGFR,{'EGFR': 15183},0,0,0,0,15183
Almonertinib (hydrochloride),CVCL_1716,3,EGFR,{'EGFR': 3791},0,0,0,0,3791
Almonertinib (hydrochloride),CVCL_1666,1,EGFR,{'EGFR': 2693},0,0,0,0,2693
Almonertinib (hydrochloride),CVCL_0028,1,EGFR,{'EGFR': 2731},0,0,0,0,2731
Amsacrine,CVCL_0366,540,TOP2A,{'TOP2A': 442},0,0,0,0,442
Amsacrine,CVCL_1547,1732,TOP2A,{'TOP2A': 554},0,0,0,0,554
Amsacrine,CVCL_0480,2463,TOP2A,{'TOP2A': 1035},0,0,0,0,1035
Amsacrine,CVCL_0371,1896,TOP2A,{'TOP2A': 1371},0,0,0,0,1371
Amsacrine,CVCL_0459,196,TOP2A,{'TOP2A': 2852},0,0,0,0,2852
Amsacrine,CVCL_1495,1305,TOP2A,{'TOP2A': 1767},0,0,0,0,1767
Amsacrine,CVCL_1635,1328,TOP2A,{'TOP2A': 4817},0,0,0,0,4817
Amsacrine,CVCL_1550,1808,TOP2A,{'TOP2A': 3935},0,0,0,0,3935
Amsacrine,CVCL_1055,1389,TOP2A,{'TOP2A': 2305},0,0,0,0,2305
Amsacrine,CVCL_0131,392,TOP2A,{'TOP2A': 5203},0,0,0,0,5203
Amsacrine,CVCL_1717,1609,TOP2A,{'TOP2A': 714},0,0,0,0,714
Amsacrine,CVCL_0293,1067,TOP2A,{'TOP2A': 7449},0,0,0,0,7449
Amsacrine,CVCL_0428,135,TOP2A,{'TOP2A': 9385},0,0,0,0,9385
Amsacrine,CVCL_1119,1238,TOP2A,{'TOP2A': 96},0,0,0,1,96
Amsacrine,CVCL_0069,260,TOP2A,{'TOP2A': 3162},0,0,0,0,3162
Amsacrine,CVCL_0099,31,TOP2A,{'TOP2A': 7650},0,0,0,0,7650
Amsacrine,CVCL_1285,160,TOP2A,{'TOP2A': 1201},0,0,0,0,1201
Amsacrine,CVCL_1577,98,TOP2A,{'TOP2A': 834},0,0,0,0,834
Amsacrine,CVCL_0292,548,TOP2A,{'TOP2A': 2984},0,0,0,0,2984
Amsacrine,CVCL_1715,110,TOP2A,{'TOP2A': 5390},0,0,0,0,5390
Amsacrine,CVCL_0397,342,TOP2A,{'TOP2A': 250},0,0,0,0,250
Amsacrine,CVCL_0359,13,TOP2A,{'TOP2A': 1841},0,0,0,0,1841
Amsacrine,CVCL_1531,20,TOP2A,{'TOP2A': 1170},0,0,0,0,1170
Amsacrine,CVCL_1478,16,TOP2A,{'TOP2A': 993},0,0,0,0,993
Amsacrine,CVCL_0399,176,TOP2A,{'TOP2A': 1143},0,0,0,0,1143
Amsacrine,CVCL_1724,84,TOP2A,{'TOP2A': 3103},0,0,0,0,3103
Amsacrine,CVCL_0152,35,TOP2A,{'TOP2A': 1267},0,0,0,0,1267
Amsacrine,CVCL_1125,3,TOP2A,{'TOP2A': 12774},0,0,0,0,12774
Amsacrine,CVCL_0504,16,TOP2A,{'TOP2A': 5569},0,0,0,0,5569
Amsacrine,CVCL_0546,15,TOP2A,{'TOP2A': 2367},0,0,0,0,2367
Amsacrine,CVCL_0332,89,TOP2A,{'TOP2A': 1790},0,0,0,0,1790
Amsacrine,CVCL_1098,42,TOP2A,{'TOP2A': 1478},0,0,0,0,1478
Amsacrine,CVCL_0179,85,TOP2A,{'TOP2A': 1692},0,0,0,0,1692
