target_gene,batch,cell_n
ATP6V0B,Flex_2_14,4
ATP6V0B,Flex_2_15,3
ATP6V0B,Flex_2_16,9
ATP6V0B,Flex_3_01,4
ATP6V0B,Flex_3_02,3
ATP6V0B,Flex_3_03,3
ATP6V0B,Flex_3_04,4
ATP6V0B,Flex_3_05,2
ATP6V0B,Flex_3_06,3
ATP6V0B,Flex_3_07,5
ATP6V0B,Flex_3_08,11
ATP6V0B,Flex_3_09,6
ATP6V0B,Flex_3_10,6
ATP6V0B,Flex_3_11,8
ATP6V0B,Flex_3_12,6
ATP6V0B,Flex_3_13,6
ATP6V0B,Flex_3_14,6
ATP6V0B,Flex_3_15,6
ATP6V0B,Flex_3_16,4
ATP6V0C,Flex_1_01,1
ATP6V0C,Flex_1_02,0
ATP6V0C,Flex_1_03,0
ATP6V0C,Flex_1_04,1
ATP6V0C,Flex_1_05,3
ATP6V0C,Flex_1_06,1
ATP6V0C,Flex_1_07,0
ATP6V0C,Flex_1_08,1
ATP6V0C,Flex_1_09,0
ATP6V0C,Flex_1_10,0
ATP6V0C,Flex_1_11,2
ATP6V0C,Flex_1_12,1
ATP6V0C,Flex_1_13,0
ATP6V0C,Flex_1_14,1
ATP6V0C,Flex_1_15,0
ATP6V0C,Flex_1_16,1
ATP6V0C,Flex_2_01,1
ATP6V0C,Flex_2_02,3
ATP6V0C,Flex_2_03,0
ATP6V0C,Flex_2_04,0
ATP6V0C,Flex_2_05,0
ATP6V0C,Flex_2_06,0
ATP6V0C,Flex_2_07,2
ATP6V0C,Flex_2_08,1
ATP6V0C,Flex_2_09,0
ATP6V0C,Flex_2_10,1
ATP6V0C,Flex_2_11,0
ATP6V0C,Flex_2_12,0
ATP6V0C,Flex_2_13,0
ATP6V0C,Flex_2_14,0
ATP6V0C,Flex_2_15,0
ATP6V0C,Flex_2_16,1
ATP6V0C,Flex_3_01,1
ATP6V0C,Flex_3_02,2
ATP6V0C,Flex_3_03,3
ATP6V0C,Flex_3_04,0
ATP6V0C,Flex_3_05,0
ATP6V0C,Flex_3_06,1
ATP6V0C,Flex_3_07,0
ATP6V0C,Flex_3_08,0
ATP6V0C,Flex_3_09,0
ATP6V0C,Flex_3_10,0
ATP6V0C,Flex_3_11,0
ATP6V0C,Flex_3_12,2
ATP6V0C,Flex_3_13,0
ATP6V0C,Flex_3_14,0
ATP6V0C,Flex_3_15,1
ATP6V0C,Flex_3_16,2
BIRC2,Flex_1_01,19
BIRC2,Flex_1_02,32
BIRC2,Flex_1_03,21
BIRC2,Flex_1_04,21
BIRC2,Flex_1_05,16
BIRC2,Flex_1_06,28
BIRC2,Flex_1_07,20
BIRC2,Flex_1_08,26
BIRC2,Flex_1_09,21
BIRC2,Flex_1_10,18
BIRC2,Flex_1_11,18
BIRC2,Flex_1_12,25
BIRC2,Flex_1_13,27
BIRC2,Flex_1_14,16
BIRC2,Flex_1_15,18
BIRC2,Flex_1_16,18
BIRC2,Flex_2_01,22
BIRC2,Flex_2_02,20
BIRC2,Flex_2_03,25
BIRC2,Flex_2_04,21
BIRC2,Flex_2_05,17
BIRC2,Flex_2_06,23
BIRC2,Flex_2_07,32
BIRC2,Flex_2_08,27
BIRC2,Flex_2_09,23
BIRC2,Flex_2_10,19
BIRC2,Flex_2_11,26
BIRC2,Flex_2_12,18
BIRC2,Flex_2_13,23
BIRC2,Flex_2_14,27
BIRC2,Flex_2_15,25
BIRC2,Flex_2_16,15
BIRC2,Flex_3_01,30
BIRC2,Flex_3_02,27
BIRC2,Flex_3_03,35
BIRC2,Flex_3_04,18
BIRC2,Flex_3_05,23
BIRC2,Flex_3_06,29
BIRC2,Flex_3_07,25
BIRC2,Flex_3_08,21
BIRC2,Flex_3_09,40
BIRC2,Flex_3_10,21
BIRC2,Flex_3_11,27
BIRC2,Flex_3_12,24
BIRC2,Flex_3_13,13
BIRC2,Flex_3_14,26
BIRC2,Flex_3_15,29
BIRC2,Flex_3_16,21
BRD9,Flex_1_01,2
BRD9,Flex_1_02,0
BRD9,Flex_1_03,2
BRD9,Flex_1_04,0
BRD9,Flex_1_05,1
BRD9,Flex_1_06,1
BRD9,Flex_1_07,0
BRD9,Flex_1_08,2
BRD9,Flex_1_09,1
BRD9,Flex_1_10,3
BRD9,Flex_1_11,0
BRD9,Flex_1_12,0
BRD9,Flex_1_13,0
BRD9,Flex_1_14,0
BRD9,Flex_1_15,2
BRD9,Flex_1_16,1
BRD9,Flex_2_01,0
BRD9,Flex_2_02,2
BRD9,Flex_2_03,1
BRD9,Flex_2_04,2
BRD9,Flex_2_05,1
BRD9,Flex_2_06,0
BRD9,Flex_2_07,2
BRD9,Flex_2_08,2
BRD9,Flex_2_09,1
BRD9,Flex_2_10,1
BRD9,Flex_2_11,2
BRD9,Flex_2_12,0
BRD9,Flex_2_13,1
BRD9,Flex_2_14,4
BRD9,Flex_2_15,3
BRD9,Flex_2_16,1
BRD9,Flex_3_01,1
BRD9,Flex_3_02,6
BRD9,Flex_3_03,2
BRD9,Flex_3_04,2
BRD9,Flex_3_05,3
BRD9,Flex_3_06,1
BRD9,Flex_3_07,0
BRD9,Flex_3_08,1
BRD9,Flex_3_09,3
BRD9,Flex_3_10,0
BRD9,Flex_3_11,1
BRD9,Flex_3_12,1
BRD9,Flex_3_13,1
BRD9,Flex_3_14,2
BRD9,Flex_3_15,2
BRD9,Flex_3_16,3
C1QBP,Flex_1_01,11
C1QBP,Flex_1_02,9
C1QBP,Flex_1_03,20
C1QBP,Flex_1_04,15
C1QBP,Flex_1_05,10
C1QBP,Flex_1_06,10
C1QBP,Flex_1_07,11
C1QBP,Flex_1_08,12
C1QBP,Flex_1_09,8
C1QBP,Flex_1_10,8
C1QBP,Flex_1_11,10
C1QBP,Flex_1_12,17
C1QBP,Flex_1_13,17
C1QBP,Flex_1_14,9
C1QBP,Flex_1_15,12
C1QBP,Flex_1_16,5
C1QBP,Flex_2_01,15
C1QBP,Flex_2_02,18
C1QBP,Flex_2_03,20
C1QBP,Flex_2_04,9
C1QBP,Flex_2_05,16
C1QBP,Flex_2_06,15
C1QBP,Flex_2_07,12
C1QBP,Flex_2_08,16
C1QBP,Flex_2_09,14
C1QBP,Flex_2_10,19
C1QBP,Flex_2_11,14
C1QBP,Flex_2_12,19
C1QBP,Flex_2_13,20
C1QBP,Flex_2_14,25
C1QBP,Flex_2_15,18
C1QBP,Flex_2_16,16
C1QBP,Flex_3_01,17
C1QBP,Flex_3_02,19
C1QBP,Flex_3_03,21
C1QBP,Flex_3_04,17
C1QBP,Flex_3_05,14
C1QBP,Flex_3_06,20
C1QBP,Flex_3_07,17
C1QBP,Flex_3_08,14
C1QBP,Flex_3_09,14
C1QBP,Flex_3_10,20
C1QBP,Flex_3_11,13
C1QBP,Flex_3_12,14
C1QBP,Flex_3_13,13
C1QBP,Flex_3_14,22
C1QBP,Flex_3_15,16
C1QBP,Flex_3_16,10
CALM3,Flex_1_01,12
CALM3,Flex_1_02,18
CALM3,Flex_1_03,6
CALM3,Flex_1_04,14
CALM3,Flex_1_05,19
CALM3,Flex_1_06,17
CALM3,Flex_1_07,11
CALM3,Flex_1_08,12
CALM3,Flex_1_09,15
CALM3,Flex_1_10,19
CALM3,Flex_1_11,10
CALM3,Flex_1_12,17
CALM3,Flex_1_13,22
CALM3,Flex_1_14,13
CALM3,Flex_1_15,13
CALM3,Flex_1_16,22
CALM3,Flex_2_01,14
CALM3,Flex_2_02,8
CALM3,Flex_2_03,17
CALM3,Flex_2_04,12
CALM3,Flex_2_05,13
CALM3,Flex_2_06,11
CALM3,Flex_2_07,11
CALM3,Flex_2_08,13
CALM3,Flex_2_09,10
CALM3,Flex_2_10,7
CALM3,Flex_2_11,14
CALM3,Flex_2_12,7
CALM3,Flex_2_13,10
CALM3,Flex_2_14,18
CALM3,Flex_2_15,13
CALM3,Flex_2_16,18
CALM3,Flex_3_01,20
CALM3,Flex_3_02,14
CALM3,Flex_3_03,9
CALM3,Flex_3_04,19
CALM3,Flex_3_05,14
CALM3,Flex_3_06,16
CALM3,Flex_3_07,24
CALM3,Flex_3_08,18
CALM3,Flex_3_09,17
CALM3,Flex_3_10,18
CALM3,Flex_3_11,17
CALM3,Flex_3_12,5
CALM3,Flex_3_13,14
CALM3,Flex_3_14,12
CALM3,Flex_3_15,18
CALM3,Flex_3_16,10
CAMSAP2,Flex_1_01,34
CAMSAP2,Flex_1_02,27
CAMSAP2,Flex_1_03,26
CAMSAP2,Flex_1_04,37
CAMSAP2,Flex_1_05,41
CAMSAP2,Flex_1_06,27
CAMSAP2,Flex_1_07,28
CAMSAP2,Flex_1_08,33
CAMSAP2,Flex_1_09,45
CAMSAP2,Flex_1_10,46
CAMSAP2,Flex_1_11,36
CAMSAP2,Flex_1_12,34
CAMSAP2,Flex_1_13,49
CAMSAP2,Flex_1_14,31
CAMSAP2,Flex_1_15,38
CAMSAP2,Flex_1_16,37
CAMSAP2,Flex_2_01,27
CAMSAP2,Flex_2_02,29
CAMSAP2,Flex_2_03,31
CAMSAP2,Flex_2_04,35
CAMSAP2,Flex_2_05,35
CAMSAP2,Flex_2_06,31
CAMSAP2,Flex_2_07,40
CAMSAP2,Flex_2_08,41
CAMSAP2,Flex_2_09,35
CAMSAP2,Flex_2_10,41
CAMSAP2,Flex_2_11,46
CAMSAP2,Flex_2_12,31
CAMSAP2,Flex_2_13,41
CAMSAP2,Flex_2_14,30
CAMSAP2,Flex_2_15,32
CAMSAP2,Flex_2_16,33
CAMSAP2,Flex_3_01,36
CAMSAP2,Flex_3_02,44
CAMSAP2,Flex_3_03,46
CAMSAP2,Flex_3_04,31
CAMSAP2,Flex_3_05,37
CAMSAP2,Flex_3_06,42
CAMSAP2,Flex_3_07,38
CAMSAP2,Flex_3_08,37
CAMSAP2,Flex_3_09,25
CAMSAP2,Flex_3_10,39
CAMSAP2,Flex_3_11,53
CAMSAP2,Flex_3_12,34
CAMSAP2,Flex_3_13,45
CAMSAP2,Flex_3_14,38
CAMSAP2,Flex_3_15,39
CAMSAP2,Flex_3_16,39
CASP2,Flex_1_01,27
CASP2,Flex_1_02,34
CASP2,Flex_1_03,32
CASP2,Flex_1_04,36
CASP2,Flex_1_05,37
CASP2,Flex_1_06,35
CASP2,Flex_1_07,41
CASP2,Flex_1_08,37
CASP2,Flex_1_09,24
CASP2,Flex_1_10,33
CASP2,Flex_1_11,40
CASP2,Flex_1_12,40
CASP2,Flex_1_13,38
CASP2,Flex_1_14,27
CASP2,Flex_1_15,38
CASP2,Flex_1_16,19
CASP2,Flex_2_01,31
CASP2,Flex_2_02,30
CASP2,Flex_2_03,35
CASP2,Flex_2_04,29
CASP2,Flex_2_05,27
CASP2,Flex_2_06,31
CASP2,Flex_2_07,30
CASP2,Flex_2_08,35
CASP2,Flex_2_09,36
CASP2,Flex_2_10,41
CASP2,Flex_2_11,25
CASP2,Flex_2_12,40
CASP2,Flex_2_13,38
CASP2,Flex_2_14,32
CASP2,Flex_2_15,16
CASP2,Flex_2_16,33
CASP2,Flex_3_01,33
CASP2,Flex_3_02,33
CASP2,Flex_3_03,30
CASP2,Flex_3_04,31
CASP2,Flex_3_05,42
CASP2,Flex_3_06,41
CASP2,Flex_3_07,28
CASP2,Flex_3_08,40
CASP2,Flex_3_09,38
CASP2,Flex_3_10,37
CASP2,Flex_3_11,36
CASP2,Flex_3_12,43
CASP2,Flex_3_13,32
CASP2,Flex_3_14,15
CASP2,Flex_3_15,31
CASP2,Flex_3_16,33
CASP3,Flex_1_01,26
CASP3,Flex_1_02,18
CASP3,Flex_1_03,17
CASP3,Flex_1_04,19
CASP3,Flex_1_05,22
CASP3,Flex_1_06,27
CASP3,Flex_1_07,17
CASP3,Flex_1_08,28
CASP3,Flex_1_09,25
CASP3,Flex_1_10,23
CASP3,Flex_1_11,23
CASP3,Flex_1_12,13
CASP3,Flex_1_13,25
CASP3,Flex_1_14,24
CASP3,Flex_1_15,18
CASP3,Flex_1_16,19
CASP3,Flex_2_01,17
CASP3,Flex_2_02,23
CASP3,Flex_2_03,22
CASP3,Flex_2_04,18
CASP3,Flex_2_05,19
CASP3,Flex_2_06,34
CASP3,Flex_2_07,25
CASP3,Flex_2_08,27
CASP3,Flex_2_09,18
CASP3,Flex_2_10,23
CASP3,Flex_2_11,18
CASP3,Flex_2_12,20
CASP3,Flex_2_13,14
CASP3,Flex_2_14,21
CASP3,Flex_2_15,26
CASP3,Flex_2_16,22
CASP3,Flex_3_01,23
CASP3,Flex_3_02,18
CASP3,Flex_3_03,20
CASP3,Flex_3_04,25
CASP3,Flex_3_05,21
CASP3,Flex_3_06,29
CASP3,Flex_3_07,17
CASP3,Flex_3_08,28
CASP3,Flex_3_09,20
CASP3,Flex_3_10,20
CASP3,Flex_3_11,24
CASP3,Flex_3_12,17
CASP3,Flex_3_13,25
CASP3,Flex_3_14,19
CASP3,Flex_3_15,22
CASP3,Flex_3_16,18
CAST,Flex_1_01,40
CAST,Flex_1_02,51
CAST,Flex_1_03,56
CAST,Flex_1_04,48
CAST,Flex_1_05,33
CAST,Flex_1_06,48
CAST,Flex_1_07,37
CAST,Flex_1_08,46
CAST,Flex_1_09,33
CAST,Flex_1_10,35
CAST,Flex_1_11,46
CAST,Flex_1_12,41
CAST,Flex_1_13,51
CAST,Flex_1_14,41
CAST,Flex_1_15,50
CAST,Flex_1_16,42
CAST,Flex_2_01,65
CAST,Flex_2_02,38
CAST,Flex_2_03,35
CAST,Flex_2_04,33
CAST,Flex_2_05,42
CAST,Flex_2_06,55
CAST,Flex_2_07,47
CAST,Flex_2_08,42
CAST,Flex_2_09,47
CAST,Flex_2_10,46
CAST,Flex_2_11,46
CAST,Flex_2_12,48
CAST,Flex_2_13,46
CAST,Flex_2_14,40
CAST,Flex_2_15,52
CAST,Flex_2_16,37
CAST,Flex_3_01,49
CAST,Flex_3_02,53
CAST,Flex_3_03,44
CAST,Flex_3_04,48
CAST,Flex_3_05,61
CAST,Flex_3_06,52
CAST,Flex_3_07,57
CAST,Flex_3_08,47
CAST,Flex_3_09,60
CAST,Flex_3_10,48
CAST,Flex_3_11,58
CAST,Flex_3_12,52
CAST,Flex_3_13,52
CAST,Flex_3_14,44
CAST,Flex_3_15,55
CAST,Flex_3_16,55
CDCA2,Flex_1_01,39
CDCA2,Flex_1_02,31
CDCA2,Flex_1_03,36
CDCA2,Flex_1_04,33
CDCA2,Flex_1_05,31
CDCA2,Flex_1_06,24
CDCA2,Flex_1_07,26
CDCA2,Flex_1_08,41
CDCA2,Flex_1_09,38
CDCA2,Flex_1_10,36
CDCA2,Flex_1_11,35
CDCA2,Flex_1_12,31
CDCA2,Flex_1_13,25
CDCA2,Flex_1_14,32
CDCA2,Flex_1_15,47
CDCA2,Flex_1_16,35
CDCA2,Flex_2_01,40
CDCA2,Flex_2_02,25
CDCA2,Flex_2_03,34
CDCA2,Flex_2_04,43
CDCA2,Flex_2_05,41
CDCA2,Flex_2_06,48
CDCA2,Flex_2_07,33
CDCA2,Flex_2_08,35
CDCA2,Flex_2_09,22
CDCA2,Flex_2_10,28
CDCA2,Flex_2_11,31
CDCA2,Flex_2_12,28
CDCA2,Flex_2_13,36
CDCA2,Flex_2_14,38
CDCA2,Flex_2_15,35
CDCA2,Flex_2_16,24
CDCA2,Flex_3_01,38
CDCA2,Flex_3_02,34
CDCA2,Flex_3_03,42
CDCA2,Flex_3_04,31
CDCA2,Flex_3_05,45
CDCA2,Flex_3_06,40
CDCA2,Flex_3_07,42
CDCA2,Flex_3_08,29
CDCA2,Flex_3_09,43
CDCA2,Flex_3_10,53
CDCA2,Flex_3_11,40
CDCA2,Flex_3_12,45
CDCA2,Flex_3_13,34
CDCA2,Flex_3_14,40
CDCA2,Flex_3_15,31
CDCA2,Flex_3_16,49
CENPO,Flex_1_01,22
CENPO,Flex_1_02,29
CENPO,Flex_1_03,22
CENPO,Flex_1_04,27
CENPO,Flex_1_05,18
CENPO,Flex_1_06,20
CENPO,Flex_1_07,18
CENPO,Flex_1_08,31
CENPO,Flex_1_09,13
CENPO,Flex_1_10,25
