gene,ctrl_mean,pert_mean,delta,abs_delta
PDIA3,38.60465,37.67388,-0.93076706,0.93076706
NACC1,58.63176,57.703735,-0.9280243,0.9280243
RAC3,18.210709,17.283112,-0.92759705,0.92759705
MCL1,37.977055,37.052383,-0.9246712,0.9246712
SRSF2,25.027164,24.114414,-0.91275024,0.91275024
GABRB3,32.832066,31.920387,-0.9116783,0.9116783
EBNA1BP2,28.527636,27.616056,-0.91157913,0.91157913
PRDX6,27.426918,26.519527,-0.9073906,0.9073906
CCT6A,37.3827,36.477364,-0.9053383,0.9053383
HIST1H1B,104.9572,104.05521,-0.9019928,0.9019928
TPM1,35.982765,35.087543,-0.8952217,0.8952217
HIST1H2BH,33.064674,32.17845,-0.88622284,0.88622284
DPYSL2,32.139957,31.254274,-0.88568306,0.88568306
GAL,18.287327,17.411432,-0.87589455,0.87589455
GNL3,39.60509,38.730858,-0.87423325,0.87423325
RAB13,26.082905,25.20956,-0.8733444,0.8733444
GLUL,23.716444,22.847883,-0.8685608,0.8685608
MIF,80.122986,79.258224,-0.86476135,0.86476135
MSH2,35.049377,34.191933,-0.85744476,0.85744476
VIM,20.165182,21.016697,0.8515148,0.8515148
MT-ND4,11.041256,11.890659,0.8494034,0.8494034
NLN,31.879374,31.036287,-0.84308624,0.84308624
CYP2S1,22.09603,21.254559,-0.8414707,0.8414707
DNMT3A,32.000603,31.161478,-0.8391247,0.8391247
TMSB10,46.229935,45.391853,-0.83808136,0.83808136
TMEM33,27.124922,26.287165,-0.8377571,0.8377571
IGF2BP3,34.890797,34.05556,-0.8352356,0.8352356
PEBP1,34.27195,33.44529,-0.82666016,0.82666016
SELENOH,59.109154,58.28267,-0.8264847,0.8264847
USP44,24.27326,23.447178,-0.8260822,0.8260822
SPATS2L,25.787956,24.962294,-0.8256626,0.8256626
TRIM24,25.074812,24.249168,-0.82564354,0.82564354
TFRC,21.05383,20.230944,-0.8228855,0.8228855
CEBPZ,31.303646,30.481886,-0.8217602,0.8217602
MLEC,26.65376,25.832384,-0.8213768,0.8213768
THY1,27.194677,26.374348,-0.82032967,0.82032967
TRAP1,28.523836,27.704271,-0.8195648,0.8195648
RUVBL1,33.69206,32.87327,-0.81879044,0.81879044
U2SURP,30.483498,29.666182,-0.81731606,0.81731606
UCHL1,29.499004,28.695206,-0.8037987,0.8037987
ZFP42,22.797123,21.99562,-0.8015022,0.8015022
BAX,27.971737,28.768402,0.7966652,0.7966652
H1F0,3.0627096,3.8579004,0.7951908,0.7951908
PAWR,30.184383,29.39028,-0.7941036,0.7941036
TMEM167A,29.582905,28.809113,-0.77379227,0.77379227
NUS1,37.658504,36.88941,-0.7690964,0.7690964
RRM2,17.115753,16.351574,-0.7641792,0.7641792
OAZ2,31.942425,31.179064,-0.763361,0.763361
TIMM13,32.18792,31.430286,-0.7576332,0.7576332
BCCIP,31.051184,30.294806,-0.7563782,0.7563782
CRABP2,10.251807,10.996843,0.7450361,0.7450361
GMNN,22.365229,21.621845,-0.7433834,0.7433834
AKIRIN1,37.480618,36.74036,-0.74025726,0.74025726
MDK,40.72247,41.459602,0.737133,0.737133
NUDC,34.35952,33.625828,-0.73369217,0.73369217
BEX3,37.042984,36.310852,-0.73213196,0.73213196
HNRNPA0,45.576225,44.846622,-0.7296028,0.7296028
MYH10,37.542774,36.81813,-0.7246437,0.7246437
QSER1,28.348492,27.6255,-0.72299194,0.72299194
SMARCC1,33.595375,32.875504,-0.7198715,0.7198715
UBAP2L,28.048277,27.32917,-0.7191067,0.7191067
ADSL,31.3717,30.655855,-0.7158451,0.7158451
YBX1,60.425632,59.71221,-0.71342087,0.71342087
CDC37,29.8569,29.152199,-0.70470047,0.70470047
C1orf21,11.41513,10.710694,-0.70443535,0.70443535
SRM,31.378693,30.6752,-0.7034931,0.7034931
CKB,29.276796,28.573395,-0.70340157,0.70340157
KIF1A,27.055323,26.352568,-0.702755,0.702755
DPYSL3,53.97965,53.277225,-0.7024231,0.7024231
NTS,5.579788,6.279158,0.6993699,0.6993699
SUPT16H,29.355564,28.65823,-0.6973343,0.6973343
GTF3C6,24.791334,24.09401,-0.69732475,0.69732475
SERPINH1,28.48803,27.790833,-0.69719696,0.69719696
CHML,14.258959,13.563003,-0.69595623,0.69595623
HNRNPL,36.384403,35.688843,-0.69556046,0.69556046
PCLAF,19.33199,18.638868,-0.69312096,0.69312096
ILF3,46.755474,46.067253,-0.688221,0.688221
REXO2,23.445385,22.772078,-0.6733074,0.6733074
COA4,23.286594,22.613483,-0.67311096,0.67311096
PSMB1,42.709557,42.044598,-0.66495895,0.66495895
EIF4A2,27.04977,26.384981,-0.6647892,0.6647892
TTLL12,19.22543,18.561506,-0.66392326,0.66392326
MT-ATP6,9.12314,9.786905,0.66376495,0.66376495
TXNL4A,32.939884,32.280807,-0.6590767,0.6590767
SNU13,27.307968,26.649235,-0.65873337,0.65873337
COL1A1,11.332618,10.679886,-0.6527319,0.6527319
PDLIM1,12.651299,11.999295,-0.65200424,0.65200424
ZNF90,14.79715,14.145354,-0.6517954,0.6517954
EZR,21.312893,20.661901,-0.65099144,0.65099144
CANX,21.8547,21.204449,-0.6502514,0.6502514
MCM2,19.49877,18.853765,-0.6450043,0.6450043
TAGLN,14.570856,15.215508,0.64465237,0.64465237
TMSB4X,135.49062,134.8491,-0.64151,0.64151
TSR1,16.804092,16.163378,-0.64071465,0.64071465
EMD,19.820595,19.180046,-0.6405487,0.6405487
SLC29A1,20.419819,19.780806,-0.6390133,0.6390133
CALM2,34.17034,33.53338,-0.6369629,0.6369629
TRIM71,18.989443,18.354746,-0.63469696,0.63469696
HSP90AB1,25.423748,24.789587,-0.634161,0.634161
FAM136A,26.962175,26.328072,-0.6341038,0.6341038
NAA15,20.028656,19.400269,-0.62838745,0.62838745
SLC20A1,20.450598,19.822788,-0.6278095,0.6278095
GPR176,13.60999,12.986308,-0.623682,0.623682
EEF1G,65.03002,64.41153,-0.6184921,0.6184921
NME1,28.366014,27.74827,-0.61774445,0.61774445
DDX21,19.206465,18.58966,-0.6168041,0.6168041
EIF4A1,50.050056,49.441227,-0.6088295,0.6088295
VDAC1,18.045212,17.438168,-0.6070442,0.6070442
IDH1,55.264565,54.657898,-0.60666656,0.60666656
DDX5,32.931396,32.326996,-0.60440063,0.60440063
SERPINB9,4.447768,5.0515957,0.6038275,0.6038275
MTHFD1,30.9161,30.315237,-0.6008625,0.6008625
UBE2D3,28.925425,28.32491,-0.60051537,0.60051537
SLC1A5,23.064936,22.464907,-0.600029,0.600029
HMGN1,31.707014,31.109182,-0.5978317,0.5978317
DKC1,24.9589,24.36119,-0.59770966,0.59770966
USP22,20.79495,20.199205,-0.5957451,0.5957451
PTPRZ1,19.29089,18.700253,-0.5906372,0.5906372
LRRC8A,22.870234,22.281185,-0.5890484,0.5890484
LEFTY1,1.201776,1.7906519,0.5888759,0.5888759
GOT2,27.737741,27.152586,-0.5851555,0.5851555
STT3B,21.06677,20.48306,-0.5837097,0.5837097
JMJD1C,29.584923,29.002348,-0.58257484,0.58257484
TXNDC17,42.255737,41.67343,-0.5823059,0.5823059
TUFM,31.924822,31.344385,-0.5804367,0.5804367
CHCHD2,22.506338,21.926487,-0.57985115,0.57985115
TCOF1,28.338198,27.75856,-0.5796375,0.5796375
MAPK6,34.8443,34.269814,-0.5744858,0.5744858
CCNG1,31.459974,32.033787,0.5738125,0.5738125
FBL,28.624844,28.052912,-0.57193184,0.57193184
NHP2,48.417645,47.849277,-0.568367,0.568367
JPT2,26.453348,25.885612,-0.5677357,0.5677357
GTF2A2,27.856113,27.294582,-0.56153107,0.56153107
SMARCA5,18.465162,17.907475,-0.55768776,0.55768776
TCF3,21.88527,21.330896,-0.5543728,0.5543728
MAT2A,17.762835,17.20907,-0.55376434,0.55376434
EMG1,17.010687,16.458511,-0.5521755,0.5521755
MAD2L1,32.954735,32.4031,-0.55163574,0.55163574
AGPAT5,17.723309,17.172728,-0.550581,0.550581
MYBBP1A,15.322846,14.77312,-0.5497265,0.5497265
COX16,28.640953,28.09265,-0.5483036,0.5483036
SLC38A5,8.92752,8.380077,-0.54744244,0.54744244
SSR3,17.337778,16.79156,-0.5462189,0.5462189
NME2,52.508198,51.963013,-0.5451851,0.5451851
NAE1,23.346762,22.802198,-0.5445633,0.5445633
FASN,18.01197,17.467583,-0.5443878,0.5443878
ZNF644,25.554117,25.01064,-0.543478,0.543478
ITGB5,17.6678,18.211216,0.54341507,0.54341507
SEC11A,29.832302,29.289219,-0.5430832,0.5430832
ALPL,23.430061,22.888233,-0.54182816,0.54182816
CARM1,28.903421,28.36324,-0.5401821,0.5401821
HNRNPM,21.005264,20.466288,-0.53897667,0.53897667
EIF4H,27.828505,27.291529,-0.53697586,0.53697586
RTRAF,26.63333,26.096834,-0.5364952,0.5364952
SLC2A1,15.514668,14.982747,-0.5319214,0.5319214
RRAS2,32.925346,32.39408,-0.53126526,0.53126526
DUT,11.523732,10.993899,-0.52983284,0.52983284
UGDH,19.474173,18.944958,-0.52921486,0.52921486
CTBP2,51.851974,51.324703,-0.5272713,0.5272713
NSD1,24.661594,24.141056,-0.52053833,0.52053833
RCN1,30.137234,29.61676,-0.5204735,0.5204735
HACD3,20.551315,20.031507,-0.5198078,0.5198078
CKS2,24.434593,23.917633,-0.51696014,0.51696014
CSE1L,17.807629,17.290846,-0.51678276,0.51678276
PAICS,20.870049,20.353333,-0.516716,0.516716
TOMM70,13.517053,13.000607,-0.5164461,0.5164461
DNTTIP2,20.297098,19.78075,-0.5163479,0.5163479
NSG1,10.339847,9.826283,-0.51356316,0.51356316
EIF3J,20.167435,19.655428,-0.51200676,0.51200676
NDUFA4,62.364365,61.852493,-0.51187134,0.51187134
WDR43,19.567896,19.057281,-0.5106144,0.5106144
GJC1,18.013203,17.502728,-0.51047516,0.51047516
RESF1,16.650566,16.14139,-0.50917625,0.50917625
EIF5,25.219221,24.711721,-0.5074997,0.5074997
MT-ND3,7.794583,8.301747,0.5071645,0.5071645
CDC123,23.388542,22.881433,-0.5071087,0.5071087
RTN4,23.980381,23.47382,-0.5065613,0.5065613
IMPA2,15.637128,15.130695,-0.50643253,0.50643253
KCNQ2,14.353888,13.847654,-0.5062332,0.5062332
DDX6,22.27664,21.77104,-0.5056,0.5056
SRRT,16.648785,16.143547,-0.5052376,0.5052376
AK4,23.913506,23.41077,-0.50273514,0.50273514
DEK,21.030308,20.52783,-0.50247765,0.50247765
NUFIP2,19.769855,19.267563,-0.50229263,0.50229263
PSMD3,24.678043,24.17628,-0.5017643,0.5017643
TEAD2,23.63367,23.132421,-0.5012493,0.5012493
EIF4A3,24.433022,23.93191,-0.501112,0.501112
VRTN,14.487767,13.987891,-0.49987602,0.49987602
LSM6,20.948057,20.448702,-0.49935532,0.49935532
ACTN1,37.008698,36.509357,-0.49934006,0.49934006
EIF3A,24.38802,23.889599,-0.49842072,0.49842072
SLC2A3,28.811295,28.313162,-0.4981327,0.4981327
NES,29.174507,29.67201,0.49750328,0.49750328
SHC1,20.670029,20.172985,-0.4970436,0.4970436
PRPF40A,23.965895,23.471395,-0.4944992,0.4944992
HDAC2,25.109991,24.616253,-0.49373817,0.49373817
ELP2,18.262129,17.768488,-0.4936409,0.4936409
DRAP1,27.963879,27.472122,-0.49175644,0.49175644
VCL,14.105957,13.617012,-0.488945,0.488945
POLR2G,19.756758,19.268492,-0.488266,0.488266
PGAP2,13.797124,13.3097105,-0.4874134,0.4874134
ENOPH1,23.052101,22.565979,-0.48612213,0.48612213
CTTN,18.494787,18.009104,-0.48568344,0.48568344
AGO2,18.725561,18.24131,-0.48425102,0.48425102
TXNDC5,16.057444,15.576164,-0.48127937,0.48127937
FGFR1,20.05163,19.570545,-0.48108482,0.48108482
CD9,20.307941,19.828665,-0.47927666,0.47927666
EIF3B,22.436295,21.95728,-0.47901535,0.47901535
JADE1,12.429432,11.951326,-0.47810555,0.47810555
PABPC4,11.638149,11.16139,-0.47675896,0.47675896
GRSF1,18.908371,18.433344,-0.47502708,0.47502708
RBM25,20.36489,19.89054,-0.47434998,0.47434998
RBPMS,38.798565,38.325504,-0.4730606,0.4730606
SLC7A5,17.679039,17.206568,-0.47247124,0.47247124
DAPK1,10.729228,10.257066,-0.47216225,0.47216225
LITAF,17.35297,16.880993,-0.47197723,0.47197723
METAP2,26.178017,25.706894,-0.47112274,0.47112274
LYAR,14.831727,14.361126,-0.47060108,0.47060108
CDC6,18.110252,17.642834,-0.46741867,0.46741867
BZW2,22.750132,22.283735,-0.46639633,0.46639633
CDC25A,10.772632,10.30628,-0.4663515,0.4663515
AKR1A1,19.032272,18.565956,-0.46631622,0.46631622
IQSEC2,7.4717884,7.0066743,-0.46511412,0.46511412
CBS,26.379007,25.914597,-0.46441078,0.46441078
HNRNPH3,19.814072,19.35119,-0.4628811,0.4628811
ATIC,23.618792,23.157326,-0.46146584,0.46146584
PRKDC,26.983654,26.52429,-0.45936394,0.45936394
HNRNPDL,18.735409,18.276493,-0.4589157,0.4589157
ELAVL1,26.35153,25.894558,-0.45697212,0.45697212
ACAA2,22.35745,21.900675,-0.45677567,0.45677567
DHX36,16.351791,15.895186,-0.45660496,0.45660496
HK1,11.925267,11.46897,-0.45629692,0.45629692
DEGS1,9.981113,9.525443,-0.45567036,0.45567036
ZC3H15,21.645039,21.189632,-0.4554062,0.4554062
TIMM23,21.306292,20.85133,-0.45496178,0.45496178
RTN3,30.240675,29.787304,-0.45337105,0.45337105
LSR,28.058151,27.60499,-0.45316124,0.45316124
OCIAD1,26.233942,25.782028,-0.45191383,0.45191383
HYOU1,32.392944,31.942806,-0.4501381,0.4501381
MANF,23.21076,22.761175,-0.44958496,0.44958496
TACC3,27.737295,27.2887,-0.44859505,0.44859505
PIM2,17.97019,17.522106,-0.44808388,0.44808388
CCT2,19.960472,19.513449,-0.4470234,0.4470234
CHD4,19.19562,18.748657,-0.44696236,0.44696236
USO1,11.270877,10.826037,-0.44483948,0.44483948
ZIC5,19.195595,18.750896,-0.44469833,0.44469833
SF3B3,23.656277,23.212254,-0.44402313,0.44402313
NDUFAF8,17.989523,17.545967,-0.44355583,0.44355583
SNRPC,34.952118,34.508595,-0.4435234,0.4435234
PUS7,14.341576,13.899562,-0.44201374,0.44201374
CCNB1,24.686453,24.244461,-0.4419918,0.4419918
TOMM5,18.215345,17.774006,-0.4413395,0.4413395
MAP7,11.5911045,11.150592,-0.44051266,0.44051266
CCT4,16.622118,16.183498,-0.4386196,0.4386196
MARCKSL1,60.75105,60.315334,-0.43571472,0.43571472
FUBP1,19.464638,19.02921,-0.43542862,0.43542862
UBE2O,13.638726,13.205656,-0.43307018,0.43307018
CDCA7L,17.813234,17.382126,-0.43110847,0.43110847
KIF1B,14.077876,13.647143,-0.43073273,0.43073273
IGFBP2,24.406328,23.975893,-0.43043518,0.43043518
XRN2,18.802729,18.373295,-0.42943382,0.42943382
ZIM3,15.198502,15.62793,0.4294281,0.4294281
SRP9,24.688313,24.259142,-0.4291706,0.4291706
DDX24,14.888307,14.460122,-0.4281845,0.4281845
ZNF146,20.776718,20.350355,-0.426363,0.426363
SF3A3,18.163086,17.73762,-0.42546654,0.42546654
SNX5,18.75249,18.32788,-0.42460823,0.42460823
PSMC2,16.95387,16.529528,-0.4243431,0.4243431
CALM1,15.799481,15.375304,-0.42417717,0.42417717
IFRD1,14.229254,14.650186,0.42093182,0.42093182
PPT1,21.795368,21.375774,-0.4195938,0.4195938
ZNF462,18.42972,18.010738,-0.41898155,0.41898155
DHX9,21.209372,20.791214,-0.41815758,0.41815758
CENPU,16.118662,15.70077,-0.4178915,0.4178915
SLC44A2,15.614942,15.197961,-0.41698074,0.41698074
HPRT1,11.175738,10.7593355,-0.41640282,0.41640282
RRP1B,13.105747,12.689684,-0.4160633,0.4160633
PGRMC2,16.114574,15.699264,-0.41531086,0.41531086
TET1,12.419976,12.006772,-0.4132042,0.4132042
ARHGAP23,10.335001,9.922074,-0.41292667,0.41292667
CALR,12.647082,12.234439,-0.41264343,0.41264343
EIF2S1,19.928385,19.516579,-0.4118061,0.4118061
DHX33,13.212437,12.800849,-0.41158772,0.41158772
CYCS,21.651194,21.240261,-0.41093254,0.41093254
ITGA6,15.963039,15.552915,-0.41012478,0.41012478
LRP8,13.406643,12.997182,-0.40946102,0.40946102
RBMX,21.00998,20.600824,-0.4091549,0.4091549
CALD1,13.289894,13.698531,0.40863705,0.40863705
KLHL7,12.503877,12.095687,-0.40818977,0.40818977
RNPS1,19.88967,19.482111,-0.40755844,0.40755844
ELOVL5,23.383644,22.977875,-0.40576935,0.40576935
DHFR,10.924114,10.518807,-0.40530682,0.40530682
PELP1,12.746542,12.34148,-0.40506172,0.40506172
HNRNPA3,22.692686,22.288858,-0.40382767,0.40382767
ANP32E,14.592964,14.190467,-0.4024973,0.4024973
NOL11,16.878536,16.477287,-0.40124893,0.40124893
DHX15,15.747983,15.346784,-0.40119934,0.40119934
EHMT1,20.324078,19.923712,-0.40036583,0.40036583
MCMBP,19.674063,19.273943,-0.40011978,0.40011978
CNN2,19.518206,19.11815,-0.40005493,0.40005493
CBX3,17.497774,17.097816,-0.39995766,0.39995766
SNRPG,17.812395,17.413218,-0.39917755,0.39917755
HPDL,4.815879,4.417265,-0.39861393,0.39861393
KIAA0100,18.8476,18.449537,-0.39806366,0.39806366
XPO5,18.333717,17.936197,-0.39752007,0.39752007
ATP2A2,18.895012,18.497988,-0.39702415,0.39702415
DDX46,20.496098,20.099728,-0.39636993,0.39636993
CALU,33.202744,32.807102,-0.39564133,0.39564133
STT3A,19.574314,19.178965,-0.3953495,0.3953495
MAP4,21.639774,21.244875,-0.39489937,0.39489937
STK26,16.233183,15.839555,-0.39362812,0.39362812
KCNG3,5.042121,4.648809,-0.39331198,0.39331198
EID1,15.914056,15.522002,-0.3920536,0.3920536
GART,15.1662035,14.774175,-0.3920288,0.3920288
AHSA1,20.65198,20.2603,-0.39167976,0.39167976
HCFC1,23.021322,22.629803,-0.39151955,0.39151955
GAR1,13.392629,13.001584,-0.39104462,0.39104462
AHCY,23.620678,23.229736,-0.39094162,0.39094162
TCP1,23.710526,23.320704,-0.389822,0.389822
TAF7,24.797176,24.407707,-0.38946915,0.38946915
CDCA7,9.076514,8.687182,-0.38933182,0.38933182
KRT8,30.78772,30.399128,-0.38859177,0.38859177
LARP4,20.189726,19.80132,-0.38840675,0.38840675
RBPJ,8.467624,8.0797,-0.38792324,0.38792324
AP1S2,14.525304,14.138189,-0.38711452,0.38711452
CTPS1,16.17367,15.786938,-0.3867321,0.3867321
TXNRD1,19.417461,19.031153,-0.38630867,0.38630867
MT-CO2,7.882544,8.268514,0.38596964,0.38596964
ELAC2,13.263883,12.878158,-0.38572502,0.38572502
TRAPPC4,11.849434,11.463755,-0.38567924,0.38567924
PKDCC,9.666885,9.281627,-0.38525867,0.38525867
ZNF732,8.178489,7.7935576,-0.3849311,0.3849311
SLC5A6,13.000628,12.615914,-0.38471413,0.38471413
ZNF532,20.426027,20.041704,-0.38432312,0.38432312
FARSA,15.97467,15.590446,-0.38422394,0.38422394
KDM5B,22.891712,22.50771,-0.3840027,0.3840027
NDC1,14.762731,14.378892,-0.38383865,0.38383865
FLT1,15.536986,15.154055,-0.3829317,0.3829317
LSM1,15.185823,14.803421,-0.38240242,0.38240242
TMEM132B,11.394122,11.012376,-0.3817463,0.3817463
HNRNPK,28.707094,28.325483,-0.38161087,0.38161087
LUC7L,19.880842,19.499474,-0.38136864,0.38136864
KHSRP,23.42676,23.045631,-0.3811283,0.3811283
CAND1,17.950256,17.56959,-0.38066673,0.38066673
CYP51A1,18.366302,17.986729,-0.37957382,0.37957382
FTSJ3,13.558021,13.178577,-0.37944317,0.37944317
FLNA,36.970505,36.591724,-0.37878036,0.37878036
SRRM1,18.481455,18.10276,-0.37869453,0.37869453
PPRC1,9.142943,8.764475,-0.3784685,0.3784685
AIF1L,21.810484,21.433928,-0.3765564,0.3765564
PTMS,26.81897,27.195278,0.37630844,0.37630844
OCIAD2,18.686478,19.06217,0.37569237,0.37569237
PDPN,18.604908,18.230112,-0.3747959,0.3747959
UCK2,14.313784,13.939884,-0.37389946,0.37389946
NOP58,15.85483,15.481112,-0.37371826,0.37371826
SNRPB2,20.367325,19.994003,-0.37332153,0.37332153
DPM1,16.489548,16.11625,-0.37329865,0.37329865
MAPK1IP1L,23.494211,23.12222,-0.3719921,0.3719921
TOP1,19.29571,18.924166,-0.37154388,0.37154388
PBX1,12.773522,12.402863,-0.37065983,0.37065983
GLRX3,30.948528,30.578037,-0.37049103,0.37049103
NUDT21,19.61929,19.248972,-0.37031746,0.37031746
NONO,23.215921,22.845793,-0.37012863,0.37012863
ADAR,28.491776,28.122274,-0.3695011,0.3695011
UBR4,17.289711,16.9209,-0.36881065,0.36881065
XRCC5,16.466969,16.0982,-0.3687687,0.3687687
EIF4B,15.564936,15.196306,-0.36862946,0.36862946
TIMMDC1,15.028552,14.6599455,-0.36860657,0.36860657
ITPK1,12.052101,11.684064,-0.36803722,0.36803722
RAI14,12.855695,12.487862,-0.36783314,0.36783314
SFXN1,19.436165,19.07104,-0.36512566,0.36512566
RAB10,26.63278,26.268023,-0.36475754,0.36475754
ILF2,25.147842,24.78507,-0.362772,0.362772
TIMM8A,10.615125,10.252511,-0.36261368,0.36261368
PAGR1,12.031067,11.668646,-0.36242104,0.36242104
SLC3A2,21.442923,21.08093,-0.36199188,0.36199188
ARMCX2,12.335368,11.974505,-0.36086273,0.36086273
GPC4,18.142838,17.782213,-0.3606243,0.3606243
CHURC1,17.312473,16.952305,-0.36016846,0.36016846
CNMD,14.658975,14.298814,-0.36016083,0.36016083
GCNT2,14.353495,13.993872,-0.35962296,0.35962296
PAK1,24.296757,23.937595,-0.35916138,0.35916138
KPNA3,12.117115,11.758827,-0.3582878,0.3582878
PAK1IP1,12.359126,12.001655,-0.35747147,0.35747147
NUP188,16.879583,16.52312,-0.35646248,0.35646248
TMX1,18.355852,17.999863,-0.35598946,0.35598946
YBX3,20.224302,19.868528,-0.35577393,0.35577393
ANOS1,10.162039,9.806611,-0.35542774,0.35542774
BPTF,16.608969,16.254227,-0.35474205,0.35474205
KPNA2,16.51129,16.15656,-0.3547287,0.3547287
LMAN1,12.071249,11.716609,-0.35464,0.35464
RBM14,12.445987,12.091711,-0.3542757,0.3542757
CDH1,21.612427,21.258257,-0.35416985,0.35416985
SLC9A3R1,14.716078,14.361961,-0.35411644,0.35411644
ZSCAN10,14.872197,14.518976,-0.35322094,0.35322094
MSMO1,14.041125,13.688547,-0.35257816,0.35257816
KDR,9.396322,9.044583,-0.35173893,0.35173893
SALL2,9.854018,9.502493,-0.3515253,0.3515253
RCC1,10.808021,10.456719,-0.3513012,0.3513012
ACLY,21.332539,20.981731,-0.3508072,0.3508072
CELF1,21.720715,21.370426,-0.3502884,0.3502884
LEFTY2,0.60951906,0.9589835,0.34946442,0.34946442
